iteration,alpha,beta,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
1,1,1,1,0.8,20,336.079050165994,336.079050165994,0,1
1,1.5,1,1,0.8,20,243.911796133623,243.911796133623,0,1
1,2,1,1,0.8,20,249.588586340047,249.588586340047,0,1
1,2.5,1,1,0.8,20,288.960904121966,288.960904121966,0,1
1,3,1,1,0.8,20,301.255036232817,301.255036232817,0,1
1,3.5,1,1,0.8,20,315.266344646742,315.266344646742,0,1
1,4,1,1,0.8,20,352.333327598773,352.333327598773,0,1
1,4.5,1,1,0.8,20,341.292962019988,341.292962019988,0,1
1,5,1,1,0.8,20,380.565912221922,380.565912221922,0,1
1,5.5,1,1,0.8,20,404.587415815577,404.587415815577,0,1
1,6,1,1,0.8,20,401.522037755732,401.522037755732,0,1
1,6.5,1,1,0.8,20,371.409821352341,371.409821352341,0,1
1,7,1,1,0.8,20,399.950570800468,399.950570800468,0,1
1,7.5,1,1,0.8,20,364.99199086554,364.99199086554,0,1
1,8,1,1,0.8,20,403.550822055053,403.550822055053,0,1
1,8.5,1,1,0.8,20,343.580613262655,343.580613262655,0,1
1,9,1,1,0.8,20,405.681068295486,405.681068295486,0,1
1,9.5,1,1,0.8,20,353.27899614897,353.27899614897,0,1
1,10,1,1,0.8,20,379.686043780528,379.686043780528,0,1
1,10.5,1,1,0.8,20,432.235551794249,432.235551794249,0,1
1,1,1.5,1,0.8,20,372.533296637831,372.533296637831,0,1
1,1.5,1.5,1,0.8,20,364.923370622226,364.923370622226,0,1
1,2,1.5,1,0.8,20,446.428485466535,446.428485466535,0,1
1,2.5,1.5,1,0.8,20,409.02707864226,409.02707864226,0,1
1,3,1.5,1,0.8,20,467.320781446284,467.320781446284,0,1
1,3.5,1.5,1,0.8,20,423.335778828838,423.335778828838,0,1
1,4,1.5,1,0.8,20,436.460316582838,436.460316582838,0,1
1,4.5,1.5,1,0.8,20,444.5668802185,444.5668802185,0,1
1,5,1.5,1,0.8,20,450.722857851714,450.722857851714,0,1
1,5.5,1.5,1,0.8,20,474.6159621397,474.6159621397,0,1
1,6,1.5,1,0.8,20,459.617215338033,459.617215338033,0,1
1,6.5,1.5,1,0.8,20,434.294467210516,434.294467210516,0,1
1,7,1.5,1,0.8,20,430.959190688486,430.959190688486,0,1
1,7.5,1.5,1,0.8,20,439.064383520643,439.064383520643,0,1
1,8,1.5,1,0.8,20,440.122395246202,440.122395246202,0,1
1,8.5,1.5,1,0.8,20,454.114472651154,454.114472651154,0,1
1,9,1.5,1,0.8,20,420.080633008763,420.080633008763,0,1
1,9.5,1.5,1,0.8,20,464.71199378883,464.71199378883,0,1
1,10,1.5,1,0.8,20,429.690994724421,429.690994724421,0,1
1,10.5,1.5,1,0.8,20,400.432147331664,400.432147331664,0,1
1,1,2,1,0.8,20,505.178937922076,505.178937922076,0,1
1,1.5,2,1,0.8,20,505.523855597132,505.523855597132,0,1
1,2,2,1,0.8,20,498.485588520928,498.485588520928,0,1
1,2.5,2,1,0.8,20,435.478788715209,435.478788715209,0,1
1,3,2,1,0.8,20,464.518457844385,464.518457844385,0,1
1,3.5,2,1,0.8,20,512.726969540439,512.726969540439,0,1
1,4,2,1,0.8,20,478.572778611323,478.572778611323,0,1
1,4.5,2,1,0.8,20,463.180627577552,463.180627577552,0,1
1,5,2,1,0.8,20,454.202411167738,454.202411167738,0,1
1,5.5,2,1,0.8,20,472.511880841534,472.511880841534,0,1
1,6,2,1,0.8,20,490.713998854673,490.713998854673,0,1
1,6.5,2,1,0.8,20,456.943180002821,456.943180002821,0,1
1,7,2,1,0.8,20,449.851522264217,449.851522264217,0,1
1,7.5,2,1,0.8,20,472.588753540838,472.588753540838,0,1
