iterations,currBestLength,bestLength,nBestPathAnts,nBestCurrentPathAnts,apha,beta,rho,Q,sigma,nAnts,nCities,pheremonesDiversity,hammingDistance2,diversityOfLength
0,477.862228751183,477.862228751183,0,0,1,2,0.7,50,20,20,48,0.00283974593095342,47.0631578947368,32.2620055502892
1,420.478370189667,420.478370189667,0,0,1,2,0.7,50,20,20,48,0.936169996251013,40.8157894736842,28.676094287726
2,340.350996136665,340.350996136665,0,0,1,2,0.7,50,20,20,48,1.21377006799858,33.2526315789474,26.7947131159419
3,358.997682929039,340.350996136665,0,0,1,2,0.7,50,20,20,48,0.13469589999611,31.7052631578947,20.9451499160826
4,312.891023635864,312.891023635864,0,0,1,2,0.7,50,20,20,48,1.09463992875978,29.9631578947368,22.2122677264166
5,332.67225754261,312.891023635864,0,0,1,2,0.7,50,20,20,48,0.00880310015355416,29.1157894736842,15.188791907651
6,306.890172481537,306.890172481537,1,0,1,2,0.7,50,20,20,48,0.00629785058033929,32.4210526315789,31.252246868132
7,320.167402625084,306.890172481537,0,0,1,2,0.7,50,20,20,48,0.00478814086568867,35.0789473684211,29.0064116005637
8,268.316316723824,268.316316723824,0,0,1,2,0.7,50,20,20,48,0.00692153862170332,35.8578947368421,36.7660553174169
9,301.321473002434,268.316316723824,0,0,1,2,0.7,50,20,20,48,0.00611476186891973,35.4421052631579,24.927492706362
10,271.373320817947,268.316316723824,0,0,1,2,0.7,50,20,20,48,0.00855297002387925,36.2368421052632,27.19167173264
11,247.511051297188,247.511051297188,0,0,1,2,0.7,50,20,20,48,1.61826310124194,34.7631578947368,29.8628029628108
12,238.887883067131,238.887883067131,0,0,1,2,0.7,50,20,20,48,0.113659940535467,30.3315789473684,22.5010039938724
13,244.78690636158,238.887883067131,0,0,1,2,0.7,50,20,20,48,0.581258153305733,28.5368421052632,16.2269258144451
14,246.010240912437,238.887883067131,0,0,1,2,0.7,50,20,20,48,1.95569789281969,28.1473684210526,11.1041522561122
15,236.830490231514,236.830490231514,3,0,1,2,0.7,50,20,20,48,0.754363837309421,27.6894736842105,9.36561240152267
16,250.339564919472,236.830490231514,0,0,1,2,0.7,50,20,20,48,0.0185733869996971,25.4421052631579,12.5944400886584
17,252.879350304604,236.830490231514,0,0,1,2,0.7,50,20,20,48,0.0132250039384242,26.8789473684211,32.776422615509
18,241.866483211517,236.830490231514,0,0,1,2,0.7,50,20,20,48,0.0143965540971447,29.1526315789474,26.9056548886138
19,244.933485150337,236.830490231514,0,0,1,2,0.7,50,20,20,48,0.0146948452960787,28.9263157894737,22.2775071620684
20,246.519410252571,236.830490231514,0,0,1,2,0.7,50,20,20,48,0.0136289863387493,29.3315789473684,20.8651821508997
21,257.670195221901,236.830490231514,0,0,1,2,0.7,50,20,20,48,0.0102194131392625,31.3157894736842,23.4837014177166
