iteration,alpha,beta,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
1,1,1,1,0.8,20,341.49397788519,341.49397788519,0,1
1,1.2,1,1,0.8,20,258.287455214099,258.287455214099,0,1
1,1.4,1,1,0.8,20,256.95278520724,256.95278520724,0,1
1,1.6,1,1,0.8,20,261.278725992672,261.278725992672,0,1
1,1.8,1,1,0.8,20,250.349342895964,250.349342895964,0,1
1,2,1,1,0.8,20,261.396683201134,261.396683201134,0,1
1,2.2,1,1,0.8,20,266.674438440518,266.674438440518,0,1
1,2.4,1,1,0.8,20,269.548673720733,269.548673720733,0,1
1,2.6,1,1,0.8,20,260.54646264364,260.54646264364,0,1
1,2.8,1,1,0.8,20,314.330177338406,314.330177338406,0,1
1,3,1,1,0.8,20,344.048975495884,344.048975495884,0,1
1,1,1.2,1,0.8,20,310.979638524631,310.979638524631,0,1
1,1.2,1.2,1,0.8,20,225.718562787108,225.718562787108,0,1
1,1.4,1.2,1,0.8,20,282.868016919439,282.868016919439,0,1
1,1.6,1.2,1,0.8,20,306.838590389824,306.838590389824,0,1
1,1.8,1.2,1,0.8,20,354.714355257432,354.714355257432,0,1
1,2,1.2,1,0.8,20,319.795100804926,319.795100804926,0,1
1,2.2,1.2,1,0.8,20,342.828066619969,342.828066619969,0,1
1,2.4,1.2,1,0.8,20,364.038595148523,364.038595148523,0,1
1,2.6,1.2,1,0.8,20,354.07221508808,354.07221508808,0,1
1,2.8,1.2,1,0.8,20,348.772533750287,348.772533750287,0,1
1,3,1.2,1,0.8,20,398.476354940886,398.476354940886,0,1
1,1,1.4,1,0.8,20,276.855681190067,276.855681190067,0,1
1,1.2,1.4,1,0.8,20,369.525729937577,369.525729937577,0,1
1,1.4,1.4,1,0.8,20,309.916182834908,309.916182834908,0,1
1,1.6,1.4,1,0.8,20,330.685344737832,330.685344737832,0,1
1,1.8,1.4,1,0.8,20,393.936529921654,393.936529921654,0,1
1,2,1.4,1,0.8,20,371.372353739686,371.372353739686,0,1
1,2.2,1.4,1,0.8,20,437.832950544487,437.832950544487,0,1
1,2.4,1.4,1,0.8,20,388.326481226143,388.326481226143,0,1
1,2.6,1.4,1,0.8,20,409.457581858003,409.457581858003,0,1
1,2.8,1.4,1,0.8,20,430.08957771996,430.08957771996,0,1
1,3,1.4,1,0.8,20,459.548019889203,459.548019889203,0,1
1,1,1.6,1,0.8,20,457.984625729737,457.984625729737,0,1
1,1.2,1.6,1,0.8,20,430.106663439383,430.106663439383,0,1
1,1.4,1.6,1,0.8,20,423.236062645893,423.236062645893,0,1
1,1.6,1.6,1,0.8,20,412.155857708009,412.155857708009,0,1
1,1.8,1.6,1,0.8,20,456.625266424044,456.625266424044,0,1
1,2,1.6,1,0.8,20,468.013231476702,468.013231476702,0,1
1,2.2,1.6,1,0.8,20,457.26145312697,457.26145312697,0,1
1,2.4,1.6,1,0.8,20,462.947626317055,462.947626317055,0,1
1,2.6,1.6,1,0.8,20,486.725191946203,486.725191946203,0,1
1,2.8,1.6,1,0.8,20,468.876364309525,468.876364309525,0,1
1,3,1.6,1,0.8,20,449.84884614109,449.84884614109,0,1
1,1,1.8,1,0.8,20,486.991245231236,486.991245231236,0,1
