iteration,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
1,1,0.8,20,460.509104553583,460.509104553583,0,1
1,2,0.8,20,468.757590144976,468.757590144976,0,1
1,5,0.8,20,513.290868745334,513.290868745334,0,1
1,20,0.8,20,488.185149309881,488.185149309881,0,1
1,40,0.8,20,516.204986442307,516.204986442307,0,1
1,100,0.8,20,516.110017517659,516.110017517659,0,1
1,500,0.8,20,463.225121804358,463.225121804358,0,1
2,1,0.8,20,460.509104553583,484.693718030954,0,1
2,2,0.8,20,443.459052144625,443.459052144625,0,1
2,5,0.8,20,456.067944201101,456.067944201101,0,1
2,20,0.8,20,456.805724407656,456.805724407656,0,1
2,40,0.8,20,455.258276469572,455.258276469572,0,1
2,100,0.8,20,479.673470460293,479.673470460293,0,1
2,500,0.8,20,463.225121804358,488.484152661007,0,1
3,1,0.8,20,434.231026143602,434.231026143602,0,1
3,2,0.8,20,433.414031828016,433.414031828016,0,1
3,5,0.8,20,456.067944201101,484.308498791251,0,1
3,20,0.8,20,431.935131511445,431.935131511445,0,1
3,40,0.8,20,429.345035580465,429.345035580465,0,1
3,100,0.8,20,423.500285629808,423.500285629808,0,1
3,500,0.8,20,462.650698666917,462.650698666917,0,1
4,1,0.8,20,434.231026143602,440.550556588486,0,1
4,2,0.8,20,416.351032108947,416.351032108947,0,1
4,5,0.8,20,456.067944201101,457.374318622224,0,1
4,20,0.8,20,371.464036637146,371.464036637146,0,1
4,40,0.8,20,417.59236254316,417.59236254316,0,1
4,100,0.8,20,409.7249043999,409.7249043999,0,1
4,500,0.8,20,450.672005783672,450.672005783672,0,1
5,1,0.8,20,403.390445944431,403.390445944431,0,1
5,2,0.8,20,378.056020447199,378.056020447199,0,1
5,5,0.8,20,419.572860459573,419.572860459573,0,1
5,20,0.8,20,368.686933231951,368.686933231951,0,1
5,40,0.8,20,417.59236254316,424.680587814053,0,1
5,100,0.8,20,373.459045951004,373.459045951004,0,1
5,500,0.8,20,403.451914610197,403.451914610197,0,1
6,1,0.8,20,382.195415396389,382.195415396389,0,1
6,2,0.8,20,378.056020447199,386.149347401927,0,1
6,5,0.8,20,376.943012426987,376.943012426987,0,1
6,20,0.8,20,339.668899403924,339.668899403924,0,1
6,40,0.8,20,402.648410151953,402.648410151953,0,1
6,100,0.8,20,362.164517222554,362.164517222554,0,1
6,500,0.8,20,403.451914610197,438.65354731135,0,1
