iteration,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
1,1,0.8,20,478.457284758442,478.457284758442,0,1
1,1,0.8,20,473.791891823803,473.791891823803,0,1
1,1,0.8,20,477.240394201747,477.240394201747,0,1
1,1,0.8,20,503.150007627694,503.150007627694,0,1
1,1,0.8,20,502.722165129729,502.722165129729,0,1
1,1,0.8,20,502.666866392863,502.666866392863,0,1
1,1,0.8,20,503.099003187444,503.099003187444,0,1
1,1,0.8,20,511.140756722315,511.140756722315,0,1
1,1,0.8,20,468.37329755809,468.37329755809,0,1
1,1,0.8,20,493.941828139851,493.941828139851,0,1
1,1,0.8,20,483.401044960409,483.401044960409,0,1
1,1,0.8,20,529.428237850879,529.428237850879,0,1
1,1,0.8,20,490.046538893514,490.046538893514,0,1
1,1,0.8,20,493.726951882063,493.726951882063,0,1
1,1,0.8,20,511.715151822221,511.715151822221,0,1
1,1,0.8,20,479.192962627793,479.192962627793,0,1
1,1,0.8,20,467.701184401576,467.701184401576,0,1
1,1,0.8,20,514.77584051544,514.77584051544,0,1
1,1,0.8,20,434.760593793005,434.760593793005,0,1
1,1,0.8,20,489.184409500359,489.184409500359,0,1
1,2,0.8,20,508.325860128754,508.325860128754,0,1
1,2,0.8,20,444.230153233069,444.230153233069,0,1
1,2,0.8,20,515.03712913377,515.03712913377,0,1
1,2,0.8,20,491.863950524318,491.863950524318,0,1
1,2,0.8,20,447.565158881157,447.565158881157,0,1
1,2,0.8,20,502.899175068482,502.899175068482,0,1
1,2,0.8,20,472.300918125183,472.300918125183,0,1
1,2,0.8,20,456.413889493977,456.413889493977,0,1
1,2,0.8,20,496.618519691922,496.618519691922,0,1
1,2,0.8,20,485.879316921386,485.879316921386,0,1
1,2,0.8,20,503.365082272811,503.365082272811,0,1
1,2,0.8,20,505.268478282982,505.268478282982,0,1
1,2,0.8,20,477.663236171229,477.663236171229,0,1
1,2,0.8,20,522.559909300399,522.559909300399,0,1
1,2,0.8,20,445.685326711736,445.685326711736,0,1
1,2,0.8,20,474.493216231121,474.493216231121,0,1
1,2,0.8,20,489.188424820535,489.188424820535,0,1
1,2,0.8,20,504.809499978511,504.809499978511,0,1
1,2,0.8,20,468.353154097141,468.353154097141,0,1
1,2,0.8,20,504.446435843933,504.446435843933,0,1
1,5,0.8,20,524.92694417538,524.92694417538,0,1
1,5,0.8,20,502.820767455508,502.820767455508,0,1
1,5,0.8,20,483.160088928366,483.160088928366,0,1
1,5,0.8,20,485.349854492429,485.349854492429,0,1
1,5,0.8,20,505.211523305905,505.211523305905,0,1
1,5,0.8,20,484.368349324548,484.368349324548,0,1
1,5,0.8,20,501.162549022324,501.162549022324,0,1
1,5,0.8,20,489.475098234066,489.475098234066,0,1
1,5,0.8,20,535.371123513178,535.371123513178,0,1
1,5,0.8,20,465.904213158688,465.904213158688,0,1
1,5,0.8,20,444.297988515262,444.297988515262,0,1
1,5,0.8,20,479.270269555309,479.270269555309,0,1
1,5,0.8,20,494.787973703688,494.787973703688,0,1
1,5,0.8,20,514.738022397065,514.738022397065,0,1
1,5,0.8,20,470.844134109563,470.844134109563,0,1
1,5,0.8,20,489.262873232689,489.262873232689,0,1
1,5,0.8,20,497.390798794485,497.390798794485,0,1
1,5,0.8,20,499.700810626463,499.700810626463,0,1
1,5,0.8,20,524.710834422412,524.710834422412,0,1
1,5,0.8,20,511.377336464157,511.377336464157,0,1
1,20,0.8,20,461.162665612595,461.162665612595,0,1
1,20,0.8,20,501.2164558378,501.2164558378,0,1
1,20,0.8,20,490.98603946137,490.98603946137,0,1
1,20,0.8,20,455.748159351988,455.748159351988,0,1
1,20,0.8,20,453.378295550847,453.378295550847,0,1
1,20,0.8,20,443.037140978754,443.037140978754,0,1
1,20,0.8,20,471.909900598621,471.909900598621,0,1
1,20,0.8,20,497.378105938829,497.378105938829,0,1
1,20,0.8,20,480.693724067789,480.693724067789,0,1
1,20,0.8,20,527.198797902472,527.198797902472,0,1
1,20,0.8,20,418.583056465814,418.583056465814,0,1
1,20,0.8,20,482.714942702326,482.714942702326,0,1
1,20,0.8,20,475.675412769502,475.675412769502,0,1
1,20,0.8,20,521.002267862619,521.002267862619,0,1
1,20,0.8,20,501.063714335668,501.063714335668,0,1
1,20,0.8,20,507.293228153487,507.293228153487,0,1
1,20,0.8,20,558.259771791949,558.259771791949,0,1
1,20,0.8,20,500.507993038725,500.507993038725,0,1
1,20,0.8,20,514.595093970166,514.595093970166,0,1
1,20,0.8,20,510.945245901579,510.945245901579,0,1
1,40,0.8,20,478.05138042233,478.05138042233,0,1
1,40,0.8,20,479.0849851503,479.0849851503,0,1
1,40,0.8,20,501.357005684058,501.357005684058,0,1
1,40,0.8,20,473.729145160931,473.729145160931,0,1
1,40,0.8,20,507.192846347726,507.192846347726,0,1
1,40,0.8,20,476.008645040297,476.008645040297,0,1
1,40,0.8,20,495.807675052199,495.807675052199,0,1
1,40,0.8,20,497.289922951661,497.289922951661,0,1
1,40,0.8,20,497.792140635179,497.792140635179,0,1
1,40,0.8,20,500.836963274926,500.836963274926,0,1
1,40,0.8,20,450.826253946337,450.826253946337,0,1
1,40,0.8,20,485.704339018235,485.704339018235,0,1
1,40,0.8,20,480.090192944147,480.090192944147,0,1
1,40,0.8,20,466.61792077042,466.61792077042,0,1
1,40,0.8,20,511.813412100571,511.813412100571,0,1
1,40,0.8,20,476.686571056485,476.686571056485,0,1
1,40,0.8,20,511.47969979328,511.47969979328,0,1
1,40,0.8,20,472.086470134271,472.086470134271,0,1
1,40,0.8,20,502.807853222278,502.807853222278,0,1
1,40,0.8,20,511.406326684072,511.406326684072,0,1
1,100,0.8,20,476.214092189654,476.214092189654,0,1
1,100,0.8,20,494.57004766518,494.57004766518,0,1
1,100,0.8,20,508.151370852291,508.151370852291,0,1
1,100,0.8,20,486.081312544355,486.081312544355,0,1
1,100,0.8,20,485.244137092047,485.244137092047,0,1
1,100,0.8,20,522.364419998083,522.364419998083,0,1
1,100,0.8,20,493.172637821581,493.172637821581,0,1
1,100,0.8,20,481.977804856506,481.977804856506,0,1
1,100,0.8,20,523.958754016189,523.958754016189,0,1
1,100,0.8,20,517.297774048016,517.297774048016,0,1
1,100,0.8,20,529.428373360686,529.428373360686,0,1
1,100,0.8,20,468.559695536907,468.559695536907,0,1
1,100,0.8,20,503.096567463566,503.096567463566,0,1
1,100,0.8,20,503.35619810048,503.35619810048,0,1
1,100,0.8,20,471.773520120567,471.773520120567,0,1
1,100,0.8,20,527.371107345811,527.371107345811,0,1
1,100,0.8,20,498.220167742189,498.220167742189,0,1
1,100,0.8,20,474.976848312831,474.976848312831,0,1
1,100,0.8,20,471.243091037822,471.243091037822,0,1
1,100,0.8,20,491.389819112622,491.389819112622,0,1
1,500,0.8,20,499.289026579704,499.289026579704,0,1
1,500,0.8,20,467.555407202401,467.555407202401,0,1
1,500,0.8,20,432.614907643484,432.614907643484,0,1
1,500,0.8,20,478.93644748849,478.93644748849,0,1
1,500,0.8,20,507.281486077603,507.281486077603,0,1
1,500,0.8,20,485.408354441269,485.408354441269,0,1
1,500,0.8,20,511.189100425146,511.189100425146,0,1
1,500,0.8,20,450.691804092249,450.691804092249,0,1
1,500,0.8,20,450.260896316528,450.260896316528,0,1
1,500,0.8,20,510.203179085143,510.203179085143,0,1
1,500,0.8,20,517.815425325017,517.815425325017,0,1
1,500,0.8,20,486.043211912401,486.043211912401,0,1
1,500,0.8,20,517.119809880895,517.119809880895,0,1
1,500,0.8,20,466.157729913291,466.157729913291,0,1
1,500,0.8,20,524.382480706054,524.382480706054,0,1
1,500,0.8,20,467.31022357012,467.31022357012,0,1
1,500,0.8,20,456.456304822093,456.456304822093,0,1
1,500,0.8,20,454.214260439378,454.214260439378,0,1
1,500,0.8,20,516.522825651547,516.522825651547,0,1
1,500,0.8,20,499.78655983978,499.78655983978,0,1
2,1,0.8,20,457.503342655828,457.503342655828,0,1
2,1,0.8,20,469.176234027322,469.176234027322,0,1
2,1,0.8,20,456.616495787307,456.616495787307,0,1
2,1,0.8,20,468.260903256223,468.260903256223,0,1
2,1,0.8,20,476.983714385462,476.983714385462,0,1
