iteration,sigma,rho,Q,bestLength
10000,1,0.7,0,417.725499416808
10000,1,0.7,1,405.719900606811
10000,1,0.7,2,391.915303002539
10000,1,0.7,3,409.679778863138
10000,1,0.7,4,425.090967375688
10000,1,0.7,5,427.611323733155
10000,1,0.7,6,410.602669668095
10000,1,0.7,7,420.895717458464
10000,1,0.7,8,407.658423721426
10000,1,0.7,9,404.534597524642
10000,1,0.7,10,399.54378395313
10000,1,0.7,11,406.543554165309
10000,1,0.7,12,402.09212533647
10000,1,0.7,13,393.568722347443
10000,1,0.7,14,396.439106353155
10000,1,0.7,15,389.614314421368
10000,1,0.7,16,348.041768691078
10000,1,0.7,17,360.158323959867
10000,1,0.7,18,307.54800244384
10000,1,0.7,19,302.670227970211
10000,1,0.7,20,263.838192576153
10000,1,0.7,21,252.985181355326
10000,1,0.7,22,215.616413482092
10000,1,0.7,23,233.786267089412
10000,1,0.7,24,198.035545647708
10000,1,0.7,25,207.202168185417
10000,1,0.7,26,187.08534963204
10000,1,0.7,27,185.063036502277
10000,1,0.7,28,181.708242012943
10000,1,0.7,29,174.016623853576
10000,1,0.7,30,178.948448058301
10000,1,0.7,31,173.005494342498
10000,1,0.7,32,164.802061825962
10000,1,0.7,33,156.05155903834
10000,1,0.7,34,149.375848675493
10000,1,0.7,35,158.395196841893
10000,1,0.7,36,141.382049725741
10000,1,0.7,37,146.278348346303
10000,1,0.7,38,138.564146111603
10000,1,0.7,39,145.903085509184
10000,1,0.7,40,148.60374357713
10000,1,0.7,41,143.561127438567
10000,1,0.7,42,143.952620730175
10000,1,0.7,43,138.948672920821
10000,1,0.7,44,152.882195518977
10000,1,0.7,45,144.674544030994
10000,1,0.7,46,146.118972322041
10000,1,0.7,47,147.642782433932
10000,1,0.7,48,146.308488442968
10000,1,0.7,49,141.535330963639
10000,1,0.7,50,145.277933918746
10000,1,0.7,51,132.894913085384
10000,1,0.7,52,143.448251850676
10000,1,0.7,53,145.618225000543
10000,1,0.7,54,146.334756658719
10000,1,0.7,55,144.865436197523
10000,1,0.7,56,132.088064489801
10000,1,0.7,57,138.909400807948
10000,1,0.7,58,142.458105638831
10000,1,0.7,59,139.700101275357
10000,1,0.7,60,136.849163509426
10000,1,0.7,61,142.814799088278
10000,1,0.7,62,142.393248565069
10000,1,0.7,63,136.993943102684
10000,1,0.7,64,140.790012129111
10000,1,0.7,65,143.960376859454
10000,1,0.7,66,146.304779933437
10000,1,0.7,67,147.133803654
10000,1,0.7,68,142.902054577719
10000,1,0.7,69,148.654517667
10000,1,0.7,70,147.199146206169
10000,1,0.7,71,139.151413386719
10000,1,0.7,72,147.462116286515
10000,1,0.7,73,149.817089221947
10000,1,0.7,74,150.747072673841
10000,1,0.7,75,142.861810250248
10000,1,0.7,76,147.977269435574
10000,1,0.7,77,143.605670691195
10000,1,0.7,78,150.743872135915
10000,1,0.7,79,143.568121399253
10000,1,0.7,80,152.6902834932
10000,1,0.7,81,154.676531440305
10000,1,0.7,82,143.35671023909
10000,1,0.7,83,145.549226413759
10000,1,0.7,84,152.764651836194
10000,1,0.7,85,147.637276734462
10000,1,0.7,86,150.365582522285
10000,1,0.7,87,150.938737253029
10000,1,0.7,88,148.478541306301
10000,1,0.7,89,154.222799545979
10000,1,0.7,90,150.129698855819
10000,1,0.7,91,147.01565323336
10000,1,0.7,92,134.13736276908
10000,1,0.7,93,148.232094003136
10000,1,0.7,94,152.833116399143
10000,1,0.7,95,147.089446792598
10000,1,0.7,96,146.403335046562
10000,1,0.7,97,155.856964491021
10000,1,0.7,98,143.962201493332
10000,1,0.7,99,156.126686804941
10000,1,0.7,100,146.259469596831
