iteration,sigma,rho,Q,bestLength
iteration,sigma,rho,Q,bestLength
1000,1,0.7,0,406.749997785975
1000,1,0.7,1,407.046107534315
1000,1,0.7,2,409.569358554769
1000,1,0.7,3,414.050386294324
1000,1,0.7,4,414.540842305746
1000,1,0.7,5,420.775737969737
1000,1,0.7,6,405.470226061606
1000,1,0.7,7,393.879356250065
1000,1,0.7,8,397.065802216601
1000,1,0.7,9,392.90906930625
1000,1,0.7,10,403.953272563336
1000,1,0.7,11,388.377918958187
1000,1,0.7,12,400.618391643443
1000,1,0.7,13,397.484907436747
1000,1,0.7,14,387.300999641541
1000,1,0.7,15,384.464082813823
1000,1,0.7,16,379.577894865451
1000,1,0.7,17,354.086442353619
1000,1,0.7,18,336.445827726333
1000,1,0.7,19,312.802697102078
1000,1,0.7,20,268.127811252133
1000,1,0.7,21,243.785830283094
1000,1,0.7,22,226.705303146742
1000,1,0.7,23,209.117579570021
1000,1,0.7,24,198.36813874012
1000,1,0.7,25,196.129556331158
1000,1,0.7,26,171.798437494803
1000,1,0.7,27,160.712681925715
1000,1,0.7,28,171.789333834455
1000,1,0.7,29,158.289479295092
1000,1,0.7,30,139.297827352181
1000,1,0.7,31,152.606185051463
1000,1,0.7,32,140.900182058979
1000,1,0.7,33,139.173872667772
1000,1,0.7,34,128.471631481198
1000,1,0.7,35,137.210910365046
1000,1,0.7,36,134.835135140446
1000,1,0.7,37,135.242774585064
1000,1,0.7,38,140.592182003072
1000,1,0.7,39,135.360829419805
1000,1,0.7,40,136.180489538622
1000,1,0.7,41,135.393617428157
1000,1,0.7,42,134.380654788339
1000,1,0.7,43,129.968220851387
1000,1,0.7,44,133.018929297511
1000,1,0.7,45,132.197688441596
1000,1,0.7,46,133.872408642015
1000,1,0.7,47,142.531291507765
1000,1,0.7,48,140.569644362001
1000,1,0.7,49,129.6871290152
1000,1,0.7,50,139.230761256185
1000,1,0.7,51,139.079780223361
1000,1,0.7,52,137.155068915335
1000,1,0.7,53,140.181917244655
1000,1,0.7,54,140.733030831775
1000,1,0.7,55,145.508722810803
1000,1,0.7,56,146.150117250746
1000,1,0.7,57,140.882586088178
1000,1,0.7,58,146.6451905306
1000,1,0.7,59,141.087391820467
1000,1,0.7,60,141.379889726367
1000,1,0.7,61,148.793716806621
1000,1,0.7,62,139.963126086673
1000,1,0.7,63,134.369371572066
1000,1,0.7,64,143.740819004034
1000,1,0.7,65,141.793976251538
1000,1,0.7,66,150.859663554475
1000,1,0.7,67,145.430338586086
1000,1,0.7,68,149.711190160707
1000,1,0.7,69,143.928039975344
1000,1,0.7,70,154.570576769254
1000,1,0.7,71,145.121455727828
1000,1,0.7,72,140.822724061811
1000,1,0.7,73,145.574191528417
1000,1,0.7,74,151.314508768145
1000,1,0.7,75,156.054951120771
1000,1,0.7,76,143.755669384658
1000,1,0.7,77,147.973691043936
1000,1,0.7,78,145.369842474552
1000,1,0.7,79,148.2793024587
1000,1,0.7,80,146.299498050219
1000,1,0.7,81,150.615092057189
1000,1,0.7,82,147.029196060169
1000,1,0.7,83,154.472132614941
1000,1,0.7,84,151.662693791615
1000,1,0.7,85,147.725926453126
1000,1,0.7,86,145.482833316215
1000,1,0.7,87,160.924623793602
1000,1,0.7,88,144.03846713042
1000,1,0.7,89,154.193696061372
1000,1,0.7,90,146.882124245058
1000,1,0.7,91,146.494679248295
1000,1,0.7,92,149.917099968201
1000,1,0.7,93,159.302376435345
1000,1,0.7,94,144.75147101901
1000,1,0.7,95,146.446295643744
1000,1,0.7,96,155.942500998366
1000,1,0.7,97,154.128763131216
1000,1,0.7,98,152.544638326228
1000,1,0.7,99,152.970215764313
1000,1,0.7,100,148.306003169039
