iteration,sigma,rho,Q,bestLength
2000,1,0,0,437.926079107635
2000,1,0.01,0,425.923856368571
2000,1,0.02,0,439.316614147146
2000,1,0.03,0,419.166576802649
2000,1,0.04,0,427.193797101475
2000,1,0.05,0,414.369822412015
2000,1,0.06,0,439.003498092992
2000,1,0.07,0,425.164009480504
2000,1,0.08,0,438.895005417644
2000,1,0.09,0,428.983650753426
2000,1,0.1,0,429.475960732692
2000,1,0.11,0,435.974054895733
2000,1,0.12,0,433.187609408544
2000,1,0.13,0,448.537251802285
2000,1,0.14,0,455.792147798044
2000,1,0.15,0,433.357921894565
2000,1,0.16,0,443.087666913905
2000,1,0.17,0,430.123327126074
2000,1,0.18,0,444.958317100044
2000,1,0.19,0,411.639402579607
2000,1,0.2,0,440.424011192139
2000,1,0.21,0,434.595348760717
2000,1,0.22,0,434.712359070564
2000,1,0.23,0,443.158477916055
2000,1,0.24,0,434.988618570726
2000,1,0.25,0,442.857538499982
2000,1,0.26,0,439.231829642045
2000,1,0.27,0,440.767319961852
2000,1,0.28,0,437.057169871893
2000,1,0.29,0,436.495098556673
2000,1,0.3,0,424.279466409254
2000,1,0.31,0,415.463135185314
2000,1,0.32,0,434.575128232207
2000,1,0.33,0,419.366663166742
2000,1,0.34,0,435.448603252591
2000,1,0.35,0,436.578329467372
2000,1,0.36,0,440.630884696555
2000,1,0.37,0,420.780593587638
2000,1,0.38,0,425.609221534872
2000,1,0.39,0,419.106037133267
2000,1,0.4,0,387.612924572488
2000,1,0.41,0,431.314949554335
2000,1,0.42,0,433.609148778232
2000,1,0.43,0,439.046048761339
2000,1,0.44,0,434.438091122508
2000,1,0.45,0,435.886679956735
2000,1,0.46,0,440.122137934446
2000,1,0.47,0,429.64107077769
2000,1,0.48,0,436.803237971068
2000,1,0.49,0,437.329798968826
2000,1,0.5,0,428.199606538982
2000,1,0.51,0,442.84064070102
2000,1,0.52,0,438.739395787441
2000,1,0.53,0,407.236002015727
2000,1,0.54,0,441.65726790662
2000,1,0.55,0,399.139512744186
2000,1,0.56,0,438.933089412817
2000,1,0.57,0,414.482732119741
2000,1,0.58,0,440.532035561204
2000,1,0.59,0,418.58533317728
2000,1,0.6,0,432.983364682984
2000,1,0.61,0,441.474239290586
2000,1,0.62,0,416.16842072694
2000,1,0.63,0,437.761499311242
2000,1,0.64,0,445.656082605338
2000,1,0.65,0,435.123618726195
2000,1,0.66,0,449.630226477684
2000,1,0.67,0,444.242662783123
2000,1,0.68,0,433.233141994525
2000,1,0.69,0,423.874799920762
2000,1,0.7,0,413.204281293676
2000,1,0.71,0,405.371817062828
2000,1,0.72,0,421.392657907456
2000,1,0.73,0,442.367236141923
2000,1,0.74,0,408.997431563566
2000,1,0.75,0,433.222075047125
2000,1,0.76,0,447.502916590254
2000,1,0.77,0,420.630458659721
2000,1,0.78,0,439.875534483697
2000,1,0.79,0,426.638464610964
2000,1,0.8,0,431.928397390335
2000,1,0.81,0,452.69034531868
2000,1,0.82,0,425.070093824483
2000,1,0.83,0,434.91637808036
2000,1,0.84,0,431.679355567809
2000,1,0.85,0,450.495932877355
2000,1,0.86,0,414.839076039795
2000,1,0.87,0,443.464877058324
2000,1,0.88,0,447.115929394107
2000,1,0.89,0,431.397714115581
2000,1,0.9,0,413.23774773842
2000,1,0.91,0,428.993395504381
2000,1,0.92,0,421.79011441185
2000,1,0.93,0,428.663695373108
2000,1,0.94,0,430.973680160835
2000,1,0.95,0,420.346536243584
2000,1,0.96,0,432.815267917736
2000,1,0.97,0,441.532473951401
2000,1,0.98,0,426.631196093954
2000,1,0.99,0,406.775004245153
2000,1,1,0,424.787995324744
2000,1,0,1,413.050388845919
2000,1,0.01,1,445.571002716723
2000,1,0.02,1,435.622875715169
2000,1,0.03,1,419.195812404434
2000,1,0.04,1,434.895903073937
2000,1,0.05,1,428.7331385987
2000,1,0.06,1,420.96612095192
2000,1,0.07,1,418.690627250708
2000,1,0.08,1,436.003352132206
2000,1,0.09,1,436.057079885993
2000,1,0.1,1,435.428563158691
2000,1,0.11,1,436.052718366618
2000,1,0.12,1,423.506716797939
2000,1,0.13,1,425.210225346907
2000,1,0.14,1,435.479445335021
2000,1,0.15,1,413.581370166935
2000,1,0.16,1,442.308177882579
2000,1,0.17,1,417.256944961162
2000,1,0.18,1,445.523690621494
2000,1,0.19,1,417.261381115575
2000,1,0.2,1,401.973407609562
2000,1,0.21,1,393.257655262209
2000,1,0.22,1,448.683584239356
2000,1,0.23,1,440.934935129107
2000,1,0.24,1,408.29880257553
2000,1,0.25,1,440.993761058501
2000,1,0.26,1,431.217502987202
2000,1,0.27,1,430.052119621221
2000,1,0.28,1,389.828297564358
2000,1,0.29,1,391.69782216253
2000,1,0.3,1,435.136108746365
2000,1,0.31,1,408.125774749151
2000,1,0.32,1,438.728066982131
2000,1,0.33,1,428.976521291645
2000,1,0.34,1,438.790175316306
2000,1,0.35,1,412.945025632691
2000,1,0.36,1,438.461162913111
2000,1,0.37,1,423.801592837633
2000,1,0.38,1,441.752071959813
2000,1,0.39,1,427.741274899307
2000,1,0.4,1,441.931048403488
2000,1,0.41,1,458.740858718657
2000,1,0.42,1,425.446694723888
2000,1,0.43,1,445.946487866098
2000,1,0.44,1,427.837018894585
2000,1,0.45,1,427.19002716811
2000,1,0.46,1,429.392259129325
2000,1,0.47,1,433.692836201178
2000,1,0.48,1,438.343352273466
2000,1,0.49,1,421.866366354837
2000,1,0.5,1,437.506111714616
2000,1,0.51,1,433.028066042298
2000,1,0.52,1,415.947388290893
2000,1,0.53,1,438.292640841681
2000,1,0.54,1,425.608328367595
2000,1,0.55,1,449.522408639027
2000,1,0.56,1,423.493231153481
2000,1,0.57,1,432.268827339944
2000,1,0.58,1,441.273572494032
2000,1,0.59,1,453.388764136641
2000,1,0.6,1,403.206750304645
2000,1,0.61,1,440.834207258732
2000,1,0.62,1,417.031013579031
2000,1,0.63,1,447.787137954506
2000,1,0.64,1,435.17458851808
2000,1,0.65,1,435.975601304245
2000,1,0.66,1,416.346681159755
2000,1,0.67,1,426.768422576749
2000,1,0.68,1,433.671075205097
2000,1,0.69,1,445.859438645265
2000,1,0.7,1,432.780631621845
2000,1,0.71,1,438.838842279707
2000,1,0.72,1,436.229429855273
2000,1,0.73,1,428.605052616591
2000,1,0.74,1,415.536498936719
2000,1,0.75,1,425.833674204758
2000,1,0.76,1,423.181324595902
2000,1,0.77,1,436.302827980069
2000,1,0.78,1,438.396440112428
2000,1,0.79,1,434.083339782811
2000,1,0.8,1,439.992355642484
2000,1,0.81,1,427.343739497466
2000,1,0.82,1,434.044061301356
2000,1,0.83,1,453.76535226159
2000,1,0.84,1,447.20738918343
2000,1,0.85,1,415.058343953799
2000,1,0.86,1,451.406174547183
2000,1,0.87,1,434.299317506767
2000,1,0.88,1,441.95671105252
2000,1,0.89,1,455.161800348889
2000,1,0.9,1,434.003384896833
2000,1,0.91,1,437.172801511416
2000,1,0.92,1,439.808679255286
2000,1,0.93,1,452.985354229484
2000,1,0.94,1,398.575711309296
2000,1,0.95,1,397.689708778555
2000,1,0.96,1,425.588665268206
2000,1,0.97,1,432.519613170128
2000,1,0.98,1,388.613314631149
2000,1,0.99,1,350.410884526317
2000,1,1,1,139.204219914408
2000,1,0,2,410.971351007446
2000,1,0.01,2,416.349621426495
2000,1,0.02,2,435.689704192472
2000,1,0.03,2,442.110512903314
2000,1,0.04,2,435.872915050276
2000,1,0.05,2,404.734123798248
2000,1,0.06,2,406.866003217615
2000,1,0.07,2,454.362754524309
2000,1,0.08,2,433.649731898231
2000,1,0.09,2,417.775257735289
2000,1,0.1,2,421.170035562549
2000,1,0.11,2,428.7469441105
2000,1,0.12,2,428.980536956041
2000,1,0.13,2,438.406227569994
2000,1,0.14,2,423.80063845285
2000,1,0.15,2,429.700940597609
2000,1,0.16,2,409.063461640736
2000,1,0.17,2,426.624516313741
2000,1,0.18,2,442.333647393824
2000,1,0.19,2,416.801908554418
2000,1,0.2,2,430.220969343226
2000,1,0.21,2,427.618067883231
2000,1,0.22,2,435.317939418254
2000,1,0.23,2,444.95631372167
2000,1,0.24,2,396.633501187604
2000,1,0.25,2,453.539765834528
2000,1,0.26,2,447.769994726018
2000,1,0.27,2,413.832770750259
2000,1,0.28,2,446.31910393353
2000,1,0.29,2,438.712914981078
2000,1,0.3,2,446.96254977228
2000,1,0.31,2,437.728139772517
2000,1,0.32,2,438.929387378466
2000,1,0.33,2,425.780315263643
2000,1,0.34,2,412.56955749014
2000,1,0.35,2,415.316527083578
2000,1,0.36,2,397.165588792308
2000,1,0.37,2,426.313664492101
2000,1,0.38,2,433.402988236889
2000,1,0.39,2,425.11124472008
2000,1,0.4,2,404.146749906993
2000,1,0.41,2,438.609401109941
2000,1,0.42,2,425.704979673606
2000,1,0.43,2,404.239056049187
2000,1,0.44,2,428.252550934606
2000,1,0.45,2,446.565167318694
2000,1,0.46,2,412.767841309455
2000,1,0.47,2,432.934468327281
2000,1,0.48,2,417.060841847749
2000,1,0.49,2,439.596101436879
2000,1,0.5,2,449.224693255503
2000,1,0.51,2,417.119185151906
2000,1,0.52,2,410.665932527645
2000,1,0.53,2,411.162277873222
2000,1,0.54,2,434.334729721662
2000,1,0.55,2,418.451925374803
2000,1,0.56,2,408.239784072455
2000,1,0.57,2,436.994048886003
2000,1,0.58,2,434.237239219203
2000,1,0.59,2,404.71552343052
2000,1,0.6,2,428.472351851159
2000,1,0.61,2,416.97019790956
2000,1,0.62,2,409.34641369198
2000,1,0.63,2,428.606453168321
2000,1,0.64,2,429.717270476347
2000,1,0.65,2,450.030972492428
2000,1,0.66,2,439.192949385978
2000,1,0.67,2,427.155333055877
2000,1,0.68,2,433.575398924655
2000,1,0.69,2,421.283771282523
2000,1,0.7,2,436.806673263277
2000,1,0.71,2,426.362483662149
2000,1,0.72,2,437.357048431883
2000,1,0.73,2,419.327826665458
2000,1,0.74,2,427.999398855956
2000,1,0.75,2,413.448544976473
2000,1,0.76,2,412.22399593618
2000,1,0.77,2,441.212124816761
2000,1,0.78,2,430.832167462823
2000,1,0.79,2,439.032813248853
2000,1,0.8,2,427.266519290253
2000,1,0.81,2,440.217871785656
2000,1,0.82,2,407.398830943549
2000,1,0.83,2,447.106996319917
2000,1,0.84,2,411.726127954242
2000,1,0.85,2,402.384719873577
2000,1,0.86,2,451.805644305369
2000,1,0.87,2,429.168987433674
2000,1,0.88,2,446.14680546236
2000,1,0.89,2,445.985512451229
2000,1,0.9,2,393.902783492697
2000,1,0.91,2,444.132277671281
2000,1,0.92,2,435.339581935959
2000,1,0.93,2,411.152038737024
2000,1,0.94,2,417.340054928597
2000,1,0.95,2,436.02791377759
2000,1,0.96,2,439.536621100148
2000,1,0.97,2,421.701433790191
2000,1,0.98,2,208.752025578276
2000,1,0.99,2,148.334607271965
2000,1,1,2,145.801892364544
2000,1,0,3,422.684722854786
2000,1,0.01,3,433.096313444214
2000,1,0.02,3,439.497194433454
2000,1,0.03,3,444.537899941353
2000,1,0.04,3,422.610453999991
2000,1,0.05,3,437.230321627683
2000,1,0.06,3,410.750821111286
2000,1,0.07,3,422.610543833806
2000,1,0.08,3,410.391657698989
2000,1,0.09,3,431.943161680569
2000,1,0.1,3,423.853744067833
2000,1,0.11,3,395.97610363192
2000,1,0.12,3,428.988424087139
2000,1,0.13,3,423.14664536321
2000,1,0.14,3,426.213812029233
2000,1,0.15,3,436.512261790536
2000,1,0.16,3,442.040739254283
2000,1,0.17,3,427.084210051705
2000,1,0.18,3,435.902095479938
2000,1,0.19,3,427.33118376483
2000,1,0.2,3,445.425670103869
2000,1,0.21,3,437.016213997093
2000,1,0.22,3,393.691457877736
2000,1,0.23,3,453.801949568063
2000,1,0.24,3,450.460262076263
2000,1,0.25,3,413.162438117813
2000,1,0.26,3,432.137811466184
2000,1,0.27,3,422.81093976774
2000,1,0.28,3,438.149035429277
2000,1,0.29,3,416.360548219074
2000,1,0.3,3,432.141558826905
2000,1,0.31,3,426.574378703184
2000,1,0.32,3,432.859485726352
2000,1,0.33,3,429.339385900339
2000,1,0.34,3,427.205411637304
2000,1,0.35,3,439.473001077213
2000,1,0.36,3,438.894943269463
2000,1,0.37,3,430.543680166964
2000,1,0.38,3,442.304062062382
2000,1,0.39,3,419.394137696178
2000,1,0.4,3,435.250359894736
2000,1,0.41,3,442.295741626579
2000,1,0.42,3,432.673371368861
2000,1,0.43,3,440.181218099085
2000,1,0.44,3,404.983404899145
2000,1,0.45,3,433.594520485867
2000,1,0.46,3,416.306990753413
2000,1,0.47,3,421.463326455665
2000,1,0.48,3,439.728724200571
2000,1,0.49,3,425.040954917877
2000,1,0.5,3,444.946213590152
2000,1,0.51,3,420.197538464804
2000,1,0.52,3,428.185539547722
2000,1,0.53,3,439.635660156107
2000,1,0.54,3,423.950015763892
2000,1,0.55,3,431.544142286506
2000,1,0.56,3,420.399692862361
2000,1,0.57,3,428.907973248198
2000,1,0.58,3,424.910427816199
2000,1,0.59,3,426.733808832962
2000,1,0.6,3,441.440918562806
2000,1,0.61,3,431.770600996287
2000,1,0.62,3,440.6167842535
2000,1,0.63,3,442.437408605948
2000,1,0.64,3,441.977977670774
2000,1,0.65,3,421.376718606429
2000,1,0.66,3,444.508097507478
2000,1,0.67,3,434.271971287763
2000,1,0.68,3,431.405114765625
2000,1,0.69,3,426.242056058096
2000,1,0.7,3,420.794998990261
2000,1,0.71,3,432.720323642092
2000,1,0.72,3,428.318185671861
2000,1,0.73,3,413.657925099464
2000,1,0.74,3,407.737163814186
2000,1,0.75,3,419.712863092699
2000,1,0.76,3,427.908112164277
2000,1,0.77,3,451.602995541358
2000,1,0.78,3,429.38538520459
2000,1,0.79,3,438.270704205141
2000,1,0.8,3,421.090999880409
2000,1,0.81,3,441.956785674226
2000,1,0.82,3,410.153084006405
2000,1,0.83,3,430.844032673676
2000,1,0.84,3,415.709944490194
2000,1,0.85,3,435.086929704467
2000,1,0.86,3,431.965969489653
2000,1,0.87,3,446.607200167358
2000,1,0.88,3,430.42566819306
2000,1,0.89,3,412.129059951979
2000,1,0.9,3,434.512554337121
2000,1,0.91,3,418.372262536921
2000,1,0.92,3,445.130164060149
2000,1,0.93,3,422.457095100313
2000,1,0.94,3,408.025238396315
2000,1,0.95,3,432.231265489079
2000,1,0.96,3,309.279161281349
2000,1,0.97,3,166.487019712682
2000,1,0.98,3,151.086595374283
2000,1,0.99,3,150.33918062979
2000,1,1,3,158.596301747336
2000,1,0,4,443.564091258159
2000,1,0.01,4,411.413686164792
2000,1,0.02,4,429.645719231628
2000,1,0.03,4,408.369509593171
2000,1,0.04,4,439.994552828935
2000,1,0.05,4,392.81951169632
2000,1,0.06,4,427.064750975975
2000,1,0.07,4,431.298523529125
2000,1,0.08,4,438.27313474531
2000,1,0.09,4,441.235744141019
2000,1,0.1,4,435.064625546921
2000,1,0.11,4,416.283691844505
2000,1,0.12,4,411.171711166181
2000,1,0.13,4,429.995755164115
2000,1,0.14,4,443.89972074771
2000,1,0.15,4,444.915428501494
2000,1,0.16,4,424.25471190661
2000,1,0.17,4,445.384519306763
2000,1,0.18,4,416.462945235903
2000,1,0.19,4,426.164350223051
2000,1,0.2,4,441.971011748273
2000,1,0.21,4,442.097886685246
2000,1,0.22,4,441.420497324948
2000,1,0.23,4,455.752161020968
2000,1,0.24,4,425.843862868446
2000,1,0.25,4,410.830000821595
2000,1,0.26,4,412.98395645474
2000,1,0.27,4,427.118986580313
2000,1,0.28,4,423.376558317313
2000,1,0.29,4,417.624361359921
2000,1,0.3,4,441.13653073059
2000,1,0.31,4,442.825692599747
2000,1,0.32,4,433.850046032719
2000,1,0.33,4,444.354306207905
2000,1,0.34,4,445.77746567592
2000,1,0.35,4,427.425886913136
2000,1,0.36,4,449.854828582905
2000,1,0.37,4,397.605640056736
2000,1,0.38,4,438.287366010727
2000,1,0.39,4,423.723212416952
2000,1,0.4,4,444.802557770733
2000,1,0.41,4,437.149988589482
2000,1,0.42,4,449.243508011693
2000,1,0.43,4,436.553523327137
2000,1,0.44,4,431.578414860775
2000,1,0.45,4,429.362394542168
2000,1,0.46,4,429.945643980605
2000,1,0.47,4,427.57202566704
2000,1,0.48,4,414.811385747774
2000,1,0.49,4,424.470200629471
2000,1,0.5,4,423.147230758817
2000,1,0.51,4,423.986295837593
2000,1,0.52,4,432.807596358033
2000,1,0.53,4,439.458112397934
2000,1,0.54,4,387.738840217856
2000,1,0.55,4,449.724822263165
2000,1,0.56,4,424.353117118614
2000,1,0.57,4,433.74283674148
2000,1,0.58,4,432.070480143381
2000,1,0.59,4,417.351567048839
2000,1,0.6,4,436.28008504479
2000,1,0.61,4,427.64339792272
2000,1,0.62,4,420.645782348853
2000,1,0.63,4,426.409659283011
2000,1,0.64,4,436.957053885693
2000,1,0.65,4,417.683122230376
2000,1,0.66,4,431.496319312895
2000,1,0.67,4,418.673065062076
2000,1,0.68,4,449.555543165488
2000,1,0.69,4,414.505547521117
2000,1,0.7,4,443.882198820917
2000,1,0.71,4,447.128263588842
2000,1,0.72,4,426.879033378369
2000,1,0.73,4,404.488490754117
2000,1,0.74,4,436.035678823216
2000,1,0.75,4,447.04683371483
2000,1,0.76,4,445.133539562579
2000,1,0.77,4,431.86023116837
2000,1,0.78,4,425.607852063678
2000,1,0.79,4,426.894136556932
2000,1,0.8,4,436.785394467117
2000,1,0.81,4,422.594953803872
2000,1,0.82,4,438.193687625387
2000,1,0.83,4,398.659766601682
2000,1,0.84,4,423.268610724834
2000,1,0.85,4,440.891773973693
2000,1,0.86,4,398.958876568345
2000,1,0.87,4,439.167863746551
2000,1,0.88,4,426.627973964572
2000,1,0.89,4,450.159376437316
2000,1,0.9,4,421.245420333938
2000,1,0.91,4,410.070299226769
2000,1,0.92,4,412.296308719419
2000,1,0.93,4,430.150801782527
2000,1,0.94,4,391.881424145628
2000,1,0.95,4,244.278857682855
2000,1,0.96,4,155.148129545206
2000,1,0.97,4,167.174975169114
2000,1,0.98,4,144.091064972533
2000,1,0.99,4,152.730929283804
2000,1,1,4,150.506308818654
2000,1,0,5,425.783984869789
2000,1,0.01,5,440.559549172932
2000,1,0.02,5,433.326764399927
2000,1,0.03,5,409.099425879787
2000,1,0.04,5,420.610665905984
2000,1,0.05,5,432.707118938418
2000,1,0.06,5,442.333761654767
2000,1,0.07,5,453.810409915281
2000,1,0.08,5,424.776197705312
2000,1,0.09,5,425.619989994349
2000,1,0.1,5,381.021928355687
2000,1,0.11,5,451.358176940196
2000,1,0.12,5,426.919075572725
2000,1,0.13,5,442.645424843832
2000,1,0.14,5,431.764342364419
2000,1,0.15,5,441.932317476721
2000,1,0.16,5,445.264499849357
2000,1,0.17,5,445.014113689263
2000,1,0.18,5,417.435351557016
2000,1,0.19,5,439.063198614703
2000,1,0.2,5,439.898610581453
2000,1,0.21,5,457.803455907845
2000,1,0.22,5,432.357243281583
2000,1,0.23,5,423.04911069094
2000,1,0.24,5,438.172383265664
2000,1,0.25,5,427.640991672368
2000,1,0.26,5,403.189825702263
2000,1,0.27,5,427.14879554264
2000,1,0.28,5,423.921157778393
2000,1,0.29,5,442.183422336787
2000,1,0.3,5,436.195394482239
2000,1,0.31,5,449.632166351552
2000,1,0.32,5,427.101776029629
2000,1,0.33,5,439.068051604188
2000,1,0.34,5,438.530442691193
2000,1,0.35,5,440.462685229039
2000,1,0.36,5,429.44060207507
2000,1,0.37,5,437.343108417295
2000,1,0.38,5,416.885734487272
2000,1,0.39,5,433.312911437384
2000,1,0.4,5,421.877457825343
2000,1,0.41,5,412.338356418755
2000,1,0.42,5,443.643309920649
2000,1,0.43,5,439.736002933962
2000,1,0.44,5,438.734383765378
2000,1,0.45,5,430.594541488208
2000,1,0.46,5,423.406387394399
2000,1,0.47,5,420.448356462066
2000,1,0.48,5,442.86358161037
2000,1,0.49,5,433.721100977775
2000,1,0.5,5,400.649469527542
2000,1,0.51,5,426.506913668369
2000,1,0.52,5,407.708502500366
2000,1,0.53,5,440.360630340115
2000,1,0.54,5,435.765379814782
2000,1,0.55,5,449.533586820241
2000,1,0.56,5,444.527905978328
2000,1,0.57,5,438.687353452367
2000,1,0.58,5,433.600847098462
2000,1,0.59,5,439.241900711039
2000,1,0.6,5,428.361739693612
2000,1,0.61,5,430.123755526331
2000,1,0.62,5,407.967670593786
2000,1,0.63,5,413.400502705977
2000,1,0.64,5,426.21445616136
2000,1,0.65,5,430.039081215211
2000,1,0.66,5,431.566648873459
2000,1,0.67,5,433.114116876675
2000,1,0.68,5,442.714133315359
2000,1,0.69,5,427.871785753598
2000,1,0.7,5,435.805330357866
2000,1,0.71,5,424.985098065782
2000,1,0.72,5,435.654349652431
2000,1,0.73,5,440.508521659436
2000,1,0.74,5,438.146719369206
2000,1,0.75,5,437.824691848411
2000,1,0.76,5,435.866566869549
2000,1,0.77,5,425.270652846052
2000,1,0.78,5,436.779917414987
2000,1,0.79,5,413.98507462824
2000,1,0.8,5,437.261020342498
2000,1,0.81,5,441.241737191181
2000,1,0.82,5,428.52034518504
2000,1,0.83,5,444.703719887824
2000,1,0.84,5,427.116036187659
2000,1,0.85,5,414.007085926284
2000,1,0.86,5,423.909681384933
2000,1,0.87,5,443.73358484063
2000,1,0.88,5,421.29505034545
2000,1,0.89,5,437.165713904426
2000,1,0.9,5,419.931312426906
2000,1,0.91,5,399.084333752643
2000,1,0.92,5,396.745131394223
2000,1,0.93,5,317.243747479438
2000,1,0.94,5,179.864257041875
2000,1,0.95,5,159.899545346451
2000,1,0.96,5,149.822425132727
2000,1,0.97,5,161.310439747451
2000,1,0.98,5,154.775144006751
2000,1,0.99,5,175.48482434096
2000,1,1,5,163.814071219468
2000,1,0,6,429.627563988879
2000,1,0.01,6,421.492969571235
2000,1,0.02,6,428.711749636144
2000,1,0.03,6,430.284445749824
2000,1,0.04,6,430.19154097157
2000,1,0.05,6,428.380198457429
2000,1,0.06,6,446.184259135246
2000,1,0.07,6,440.958325019989
2000,1,0.08,6,408.934106802732
2000,1,0.09,6,450.084943716631
2000,1,0.1,6,449.25259080694
2000,1,0.11,6,437.993163478193
2000,1,0.12,6,444.748279178328
2000,1,0.13,6,423.672021052963
2000,1,0.14,6,433.998128566454
2000,1,0.15,6,435.637611037244
2000,1,0.16,6,429.89981578551
2000,1,0.17,6,433.963734705047
2000,1,0.18,6,427.038388651209
2000,1,0.19,6,429.919092462664
2000,1,0.2,6,418.332145410234
2000,1,0.21,6,435.830039627723
2000,1,0.22,6,434.917459891048
2000,1,0.23,6,449.843068722497
2000,1,0.24,6,445.996065627897
2000,1,0.25,6,438.549227358011
2000,1,0.26,6,424.803611855393
2000,1,0.27,6,432.65598878648
2000,1,0.28,6,426.494125537318
2000,1,0.29,6,436.882348744689
2000,1,0.3,6,448.978194340033
2000,1,0.31,6,429.925189519783
2000,1,0.32,6,434.45964195512
2000,1,0.33,6,420.832456435608
2000,1,0.34,6,425.810730939471
2000,1,0.35,6,434.527767112616
2000,1,0.36,6,426.519613283568
2000,1,0.37,6,429.747700979821
2000,1,0.38,6,432.648028368469
2000,1,0.39,6,418.148020209807
2000,1,0.4,6,421.141181817501
2000,1,0.41,6,420.916308451463
2000,1,0.42,6,441.226659261267
2000,1,0.43,6,426.155386746422
2000,1,0.44,6,432.029646394782
2000,1,0.45,6,417.333533142602
2000,1,0.46,6,398.002702569658
2000,1,0.47,6,427.822252805681
2000,1,0.48,6,413.153113687543
2000,1,0.49,6,454.547069894257
2000,1,0.5,6,440.717163124436
2000,1,0.51,6,433.359326967633
2000,1,0.52,6,426.78639030552
2000,1,0.53,6,412.928211666681
2000,1,0.54,6,436.603050853396
2000,1,0.55,6,417.827482694282
2000,1,0.56,6,412.521897765358
2000,1,0.57,6,396.54997196715
2000,1,0.58,6,431.690524923323
2000,1,0.59,6,450.40334192145
2000,1,0.6,6,414.927952337602
2000,1,0.61,6,432.696126715036
2000,1,0.62,6,428.973842476096
2000,1,0.63,6,428.309579469119
2000,1,0.64,6,434.771873134161
2000,1,0.65,6,427.243862499073
2000,1,0.66,6,433.906301229901
2000,1,0.67,6,421.072549548586
2000,1,0.68,6,447.288047379118
2000,1,0.69,6,390.27647143391
2000,1,0.7,6,408.617702306783
2000,1,0.71,6,447.464894415434
2000,1,0.72,6,440.603703356248
2000,1,0.73,6,425.694810010404
2000,1,0.74,6,434.879970228964
2000,1,0.75,6,440.88598861584
2000,1,0.76,6,427.930785213357
2000,1,0.77,6,425.681216556889
2000,1,0.78,6,408.52988111458
2000,1,0.79,6,423.050156344713
2000,1,0.8,6,441.416022770214
2000,1,0.81,6,426.042568896838
2000,1,0.82,6,416.479946480569
2000,1,0.83,6,426.724298112013
2000,1,0.84,6,414.421063412364
2000,1,0.85,6,433.588228660885
2000,1,0.86,6,416.000681265847
2000,1,0.87,6,423.52160855175
2000,1,0.88,6,429.359282177012
2000,1,0.89,6,413.516288502108
2000,1,0.9,6,398.316089573494
2000,1,0.91,6,311.867005659934
2000,1,0.92,6,245.540773724958
2000,1,0.93,6,162.907712931534
2000,1,0.94,6,155.463817103945
2000,1,0.95,6,150.011480189745
2000,1,0.96,6,175.396171961741
2000,1,0.97,6,148.170968070328
2000,1,0.98,6,163.387736298531
2000,1,0.99,6,161.421867828494
2000,1,1,6,158.389063425169
2000,1,0,7,438.87845885127
2000,1,0.01,7,403.700158446275
2000,1,0.02,7,446.057704722494
2000,1,0.03,7,401.774321203708
2000,1,0.04,7,431.565072001593
2000,1,0.05,7,431.411006956616
2000,1,0.06,7,426.062235442985
2000,1,0.07,7,425.837465809213
2000,1,0.08,7,436.873725077059
2000,1,0.09,7,422.809112949416
2000,1,0.1,7,423.183693876201
2000,1,0.11,7,435.864133219395
2000,1,0.12,7,420.152578365198
2000,1,0.13,7,405.484561651923
2000,1,0.14,7,424.417733446366
2000,1,0.15,7,435.521705494087
2000,1,0.16,7,441.505639898798
2000,1,0.17,7,454.463610931685
2000,1,0.18,7,392.339308611491
2000,1,0.19,7,436.444916837622
2000,1,0.2,7,399.33875628745
2000,1,0.21,7,424.863814124887
2000,1,0.22,7,404.028267963805
2000,1,0.23,7,402.991414636197
2000,1,0.24,7,441.285612490966
2000,1,0.25,7,427.728475784932
2000,1,0.26,7,442.595336786966
2000,1,0.27,7,432.827103961876
2000,1,0.28,7,430.721000125507
2000,1,0.29,7,433.588239461731
2000,1,0.3,7,425.69855290511
2000,1,0.31,7,417.675259604102
2000,1,0.32,7,427.636985928656
2000,1,0.33,7,417.320858628051
2000,1,0.34,7,420.529679602176
2000,1,0.35,7,436.620650004732
2000,1,0.36,7,402.32647763757
2000,1,0.37,7,411.521056891725
2000,1,0.38,7,417.111780631423
2000,1,0.39,7,441.496528238387
2000,1,0.4,7,442.749494404578
2000,1,0.41,7,433.367882210448
2000,1,0.42,7,426.190953686403
2000,1,0.43,7,431.240977793427
2000,1,0.44,7,415.392772340988
2000,1,0.45,7,440.727692695215
2000,1,0.46,7,425.031012049464
2000,1,0.47,7,443.715000612599
2000,1,0.48,7,421.134967861408
2000,1,0.49,7,419.142174931899
2000,1,0.5,7,448.404115141973
2000,1,0.51,7,443.768228546887
2000,1,0.52,7,434.361669998061
2000,1,0.53,7,419.242431198313
2000,1,0.54,7,424.743690489987
2000,1,0.55,7,435.518684054083
2000,1,0.56,7,448.899983772063
2000,1,0.57,7,403.739453948044
2000,1,0.58,7,403.230916110377
2000,1,0.59,7,425.214400425415
2000,1,0.6,7,446.346585484707
2000,1,0.61,7,416.020789232144
2000,1,0.62,7,443.533670906077
2000,1,0.63,7,402.807978537599
2000,1,0.64,7,440.051097952395
2000,1,0.65,7,413.548795525414
2000,1,0.66,7,445.452392849408
2000,1,0.67,7,429.336644091988
