iteration,sigma,rho,Q,bestLength
100,1,0.6,0,424.891328795101
100,1,0.604,0,423.970510847743
100,1,0.608,0,428.546109964395
100,1,0.612,0,444.007626586635
100,1,0.616,0,442.031853636972
100,1,0.62,0,419.600505549618
100,1,0.624,0,432.260802740228
100,1,0.628,0,434.903053668107
100,1,0.632,0,425.061714358764
100,1,0.636,0,423.261329741721
100,1,0.64,0,443.172850590675
100,1,0.644,0,415.73084313893
100,1,0.648,0,441.494222363291
100,1,0.652,0,432.95220348652
100,1,0.656,0,428.198463517415
100,1,0.66,0,426.072173180119
100,1,0.664,0,439.972229413432
100,1,0.668,0,437.528682836397
100,1,0.672,0,438.793097160206
100,1,0.676,0,436.194935112796
100,1,0.68,0,423.835267649523
100,1,0.684,0,439.362717908962
100,1,0.688,0,449.123190058957
100,1,0.692,0,436.305095107185
100,1,0.696,0,425.085832819964
100,1,0.7,0,447.473145585828
100,1,0.704,0,451.567875845016
100,1,0.708,0,401.300468032324
100,1,0.712,0,436.310621062892
100,1,0.716,0,414.288498141485
100,1,0.72,0,419.137841622646
100,1,0.724,0,434.094150586105
100,1,0.728,0,445.307127510765
100,1,0.732,0,431.495441004428
100,1,0.736,0,450.650107898056
100,1,0.74,0,439.130628418833
100,1,0.744,0,413.814289634054
100,1,0.748,0,376.016892218088
100,1,0.752,0,444.387383990113
100,1,0.756,0,412.231383829223
100,1,0.76,0,447.949606135678
100,1,0.764,0,419.250125514261
100,1,0.768,0,417.867053713505
100,1,0.772,0,453.323551784773
100,1,0.776,0,434.889810386746
100,1,0.78,0,414.923525432732
100,1,0.784,0,432.191520150714
100,1,0.788,0,428.734651851731
100,1,0.792,0,430.688968266153
100,1,0.796,0,415.041241130271
100,1,0.8,0,442.541118164424
100,1,0.804,0,413.545965340592
100,1,0.808,0,439.814899855484
100,1,0.812,0,439.761346965122
100,1,0.816,0,452.808674839632
100,1,0.82,0,378.436863434307
100,1,0.824,0,419.689789239384
100,1,0.828,0,421.074405335006
100,1,0.832,0,437.787229352956
100,1,0.836,0,419.236567841335
100,1,0.84,0,402.774710871788
100,1,0.844,0,417.942588957877
100,1,0.848,0,428.591864231878
100,1,0.852,0,435.433246310389
100,1,0.856,0,424.95945133414
100,1,0.86,0,443.594259533668
100,1,0.864,0,420.922321501865
100,1,0.868,0,428.439168715474
100,1,0.872,0,437.754758630479
100,1,0.876,0,442.723986528416
100,1,0.88,0,417.903863295321
100,1,0.884,0,445.615254732749
100,1,0.888,0,386.926360828189
100,1,0.892,0,427.090280265717
100,1,0.896,0,424.596211451137
100,1,0.9,0,441.516666405255
100,1,0.904,0,422.465060325603
100,1,0.908,0,428.770181856778
100,1,0.912,0,440.954609196013
100,1,0.916,0,428.568111116024
100,1,0.92,0,440.974828324807
100,1,0.924,0,420.996928143135
100,1,0.928,0,428.661948441938
100,1,0.932,0,436.474547955066
100,1,0.936,0,414.82737334002
100,1,0.94,0,437.373892159687
100,1,0.944,0,412.787519832812
100,1,0.948,0,437.762256177427
100,1,0.952,0,437.889826428382
100,1,0.956,0,419.636046069151
100,1,0.96,0,425.324933898375
100,1,0.964,0,421.942998152906
100,1,0.968,0,422.637341570969
100,1,0.972,0,427.829959361128
100,1,0.976,0,449.391808701495
100,1,0.98,0,444.963117998509
100,1,0.984,0,436.589881894607
100,1,0.988,0,434.637947585722
100,1,0.992,0,444.391335155447
100,1,0.996,0,436.056845126548
100,1,1,0,412.894762537787
100,1,0.6,0.4,449.904711319585
100,1,0.604,0.4,436.771607987561
100,1,0.608,0.4,415.701555712279
100,1,0.612,0.4,411.261725820615
100,1,0.616,0.4,436.576338090895
100,1,0.62,0.4,437.88575740386
100,1,0.624,0.4,435.367542880159
100,1,0.628,0.4,423.903554820449
100,1,0.632,0.4,432.421847021272
100,1,0.636,0.4,437.966792893841
100,1,0.64,0.4,437.61768405287
100,1,0.644,0.4,422.339041819957
100,1,0.648,0.4,430.03180967058
100,1,0.652,0.4,431.072937120929
100,1,0.656,0.4,429.242388448232
100,1,0.66,0.4,448.313747078486
100,1,0.664,0.4,422.013516976606
100,1,0.668,0.4,448.09063216232
100,1,0.672,0.4,417.204517931295
100,1,0.676,0.4,425.074628019278
100,1,0.68,0.4,413.52982358139
100,1,0.684,0.4,431.439186139753
100,1,0.688,0.4,441.167725339131
100,1,0.692,0.4,428.757043436824
100,1,0.696,0.4,430.528101663805
100,1,0.7,0.4,441.196588745702
100,1,0.704,0.4,423.836485232465
100,1,0.708,0.4,413.757882109119
100,1,0.712,0.4,420.950634577147
100,1,0.716,0.4,435.210246432579
100,1,0.72,0.4,435.539804463591
100,1,0.724,0.4,404.13490457593
100,1,0.728,0.4,431.584667100055
100,1,0.732,0.4,442.550629513193
100,1,0.736,0.4,438.968437246327
100,1,0.74,0.4,424.153697186781
100,1,0.744,0.4,442.718351730646
100,1,0.748,0.4,425.126380541563
100,1,0.752,0.4,423.525426423036
100,1,0.756,0.4,430.610368152509
100,1,0.76,0.4,434.780243018437
100,1,0.764,0.4,438.798721139641
100,1,0.768,0.4,405.48035995281
100,1,0.772,0.4,430.911376049671
100,1,0.776,0.4,438.257153073224
100,1,0.78,0.4,425.781278409856
100,1,0.784,0.4,432.513320376496
100,1,0.788,0.4,446.868167751742
100,1,0.792,0.4,424.207036944154
100,1,0.796,0.4,419.891466126515
100,1,0.8,0.4,426.369481812539
100,1,0.804,0.4,427.03446004248
100,1,0.808,0.4,430.75512419325
100,1,0.812,0.4,429.845828496872
100,1,0.816,0.4,429.574299651863
100,1,0.82,0.4,432.970954128387
100,1,0.824,0.4,450.863952256743
100,1,0.828,0.4,419.634136901307
100,1,0.832,0.4,445.322595141681
100,1,0.836,0.4,443.502827876642
100,1,0.84,0.4,446.015075137176
100,1,0.844,0.4,435.331001972747
100,1,0.848,0.4,439.401000449939
100,1,0.852,0.4,413.43662387711
100,1,0.856,0.4,429.433576660819
100,1,0.86,0.4,430.795204536279
100,1,0.864,0.4,435.59634066838
100,1,0.868,0.4,444.135935177585
100,1,0.872,0.4,427.679785337171
100,1,0.876,0.4,400.810024139353
100,1,0.88,0.4,433.965282884828
100,1,0.884,0.4,417.760758904165
100,1,0.888,0.4,440.639414038916
100,1,0.892,0.4,429.004627445123
100,1,0.896,0.4,438.496987250839
100,1,0.9,0.4,427.561737628358
100,1,0.904,0.4,429.636722333478
100,1,0.908,0.4,439.512177148538
100,1,0.912,0.4,425.57789848554
100,1,0.916,0.4,417.197966223958
100,1,0.92,0.4,439.825204058077
100,1,0.924,0.4,427.749181735786
100,1,0.928,0.4,430.527962708431
100,1,0.932,0.4,452.384837373265
100,1,0.936,0.4,440.149210508295
100,1,0.94,0.4,415.989941012576
100,1,0.944,0.4,446.452277895236
100,1,0.948,0.4,421.974809062176
100,1,0.952,0.4,392.290556327335
100,1,0.956,0.4,404.135254286027
100,1,0.96,0.4,430.768042804485
100,1,0.964,0.4,425.181800777237
100,1,0.968,0.4,435.176435176607
100,1,0.972,0.4,435.80487813399
100,1,0.976,0.4,417.393631959698
100,1,0.98,0.4,421.191210183127
100,1,0.984,0.4,426.067535819942
100,1,0.988,0.4,433.466624512933
100,1,0.992,0.4,426.909520624391
100,1,0.996,0.4,386.6019436032
100,1,1,0.4,139.145791695364
100,1,0.6,0.8,451.620426552582
100,1,0.604,0.8,420.697725472963
100,1,0.608,0.8,428.568913420187
100,1,0.612,0.8,423.938490249971
100,1,0.616,0.8,447.758970948412
100,1,0.62,0.8,427.111958802672
100,1,0.624,0.8,411.361678257834
100,1,0.628,0.8,433.64930003358
100,1,0.632,0.8,439.719674667211
100,1,0.636,0.8,442.7571537433
100,1,0.64,0.8,438.283802684057
100,1,0.644,0.8,440.467181538036
100,1,0.648,0.8,438.502023738957
100,1,0.652,0.8,437.830776525732
100,1,0.656,0.8,429.861188141266
100,1,0.66,0.8,436.079438295211
100,1,0.664,0.8,434.085679526554
100,1,0.668,0.8,424.961966978416
100,1,0.672,0.8,434.355137568103
100,1,0.676,0.8,427.678138649486
100,1,0.68,0.8,439.543383327829
100,1,0.684,0.8,438.820503796326
100,1,0.688,0.8,415.268930724291
100,1,0.692,0.8,437.906224860194
100,1,0.696,0.8,436.724241429771
100,1,0.7,0.8,433.905545164904
100,1,0.704,0.8,428.343072300624
100,1,0.708,0.8,393.972705896367
100,1,0.712,0.8,438.725157476207
100,1,0.716,0.8,431.805076960344
