iteration,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
1,0,0.8,20,499.145631543242,499.145631543242,0,1
1,2,0.8,20,516.01831240685,516.01831240685,0,1
1,4,0.8,20,489.526920360681,489.526920360681,0,1
1,6,0.8,20,470.296782831858,470.296782831858,0,1
1,8,0.8,20,490.521755589808,490.521755589808,0,1
1,10,0.8,20,504.507370127593,504.507370127593,0,1
1,12,0.8,20,463.764448224108,463.764448224108,0,1
1,14,0.8,20,526.295971529751,526.295971529751,0,1
1,16,0.8,20,453.898648480714,453.898648480714,0,1
1,18,0.8,20,485.558744210996,485.558744210996,0,1
1,20,0.8,20,479.668318858912,479.668318858912,0,1
1,22,0.8,20,468.764089591254,468.764089591254,0,1
1,24,0.8,20,497.957017832979,497.957017832979,0,1
1,26,0.8,20,521.164841027054,521.164841027054,0,1
1,28,0.8,20,494.600225395046,494.600225395046,0,1
1,30,0.8,20,495.733855505709,495.733855505709,0,1
1,32,0.8,20,497.06414929647,497.06414929647,0,1
1,34,0.8,20,506.094632496261,506.094632496261,0,1
1,36,0.8,20,473.71870619553,473.71870619553,0,1
1,38,0.8,20,490.705129469273,490.705129469273,0,1
1,40,0.8,20,505.083391059688,505.083391059688,0,1
2,0,0.8,20,466.904904335806,466.904904335806,0,1
2,2,0.8,20,442.412009072371,442.412009072371,0,1
2,4,0.8,20,473.060820840511,473.060820840511,0,1
2,6,0.8,20,403.923721640059,403.923721640059,0,1
2,8,0.8,20,490.521755589808,503.206877076739,0,1
2,10,0.8,20,471.055176774451,471.055176774451,0,1
2,12,0.8,20,463.764448224108,469.958357646847,0,1
2,14,0.8,20,457.249874505138,457.249874505138,0,1
2,16,0.8,20,441.253565560134,441.253565560134,0,1
2,18,0.8,20,465.647058736354,465.647058736354,0,1
2,20,0.8,20,468.24293410157,468.24293410157,0,1
2,22,0.8,20,468.764089591254,481.684921801939,0,1
2,24,0.8,20,454.787583221162,454.787583221162,0,1
2,26,0.8,20,494.848126795961,494.848126795961,0,1
2,28,0.8,20,473.864288985015,473.864288985015,0,1
2,30,0.8,20,491.3842247203,491.3842247203,0,1
2,32,0.8,20,469.591917136688,469.591917136688,0,1
2,34,0.8,20,464.605212917984,464.605212917984,0,1
2,36,0.8,20,451.239494583824,451.239494583824,0,1
2,38,0.8,20,453.032221859348,453.032221859348,0,1
2,40,0.8,20,402.538096923158,402.538096923158,0,1
