iteration,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
1,1,0.8,20,475.067391890195,475.067391890195,0,1
1,2,0.8,20,481.111170915804,481.111170915804,0,1
1,5,0.8,20,475.562879030655,475.562879030655,0,1
1,20,0.8,20,510.736322340353,510.736322340353,0,1
1,50,0.8,20,499.237015196167,499.237015196167,0,1
1,100,0.8,20,503.575850979704,503.575850979704,0,1
2,1,0.8,20,475.067391890195,477.568641295804,0,1
2,2,0.8,20,462.438817663099,462.438817663099,0,1
2,5,0.8,20,439.869933223783,439.869933223783,0,1
2,20,0.8,20,455.157008131025,455.157008131025,0,1
2,50,0.8,20,414.873519538573,414.873519538573,0,1
2,100,0.8,20,452.710645537849,452.710645537849,0,1
3,1,0.8,20,404.96917785413,404.96917785413,0,1
3,2,0.8,20,462.438817663099,470.879373183024,0,1
3,5,0.8,20,439.869933223783,444.8953959603,0,1
3,20,0.8,20,420.728611035155,420.728611035155,0,1
3,50,0.8,20,414.873519538573,420.980378774967,0,1
3,100,0.8,20,452.710645537849,474.918452421585,0,1
4,1,0.8,20,394.275369117875,394.275369117875,0,1
4,2,0.8,20,462.438817663099,467.426392543459,0,1
4,5,0.8,20,438.191506394462,438.191506394462,0,1
4,20,0.8,20,420.728611035155,434.189056069633,0,1
4,50,0.8,20,414.873519538573,418.825669788957,0,1
4,100,0.8,20,452.710645537849,454.819160132878,0,1
5,1,0.8,20,374.242817782406,374.242817782406,0,1
5,2,0.8,20,415.537235876461,415.537235876461,0,1
5,5,0.8,20,436.07425839004,436.07425839004,0,1
5,20,0.8,20,374.630814375574,374.630814375574,0,1
5,50,0.8,20,391.484460095675,391.484460095675,0,1
5,100,0.8,20,401.183747849721,401.183747849721,0,1
6,1,0.8,20,343.132456688962,343.132456688962,0,1
6,2,0.8,20,404.031404408586,404.031404408586,0,1
6,5,0.8,20,377.643484677329,377.643484677329,0,1
6,20,0.8,20,363.432841089875,363.432841089875,0,1
6,50,0.8,20,391.484460095675,407.043226098173,0,1
6,100,0.8,20,397.281928093961,397.281928093961,0,1
7,1,0.8,20,329.474317563597,329.474317563597,0,1
7,2,0.8,20,353.06607935402,353.06607935402,0,1
7,5,0.8,20,377.643484677329,397.248762201732,0,1
7,20,0.8,20,363.432841089875,404.26360495758,0,1
7,50,0.8,20,391.484460095675,396.198087641061,0,1
7,100,0.8,20,387.477253059818,387.477253059818,0,1
8,1,0.8,20,329.474317563597,333.338195335737,0,1
8,2,0.8,20,353.06607935402,397.377790837622,0,1
8,5,0.8,20,341.955747801102,341.955747801102,0,1
8,20,0.8,20,363.432841089875,384.670867553876,0,1
8,50,0.8,20,370.072296448147,370.072296448147,0,1
8,100,0.8,20,382.340430355889,382.340430355889,0,1
9,1,0.8,20,329.474317563597,333.745960104377,0,1
9,2,0.8,20,351.587992561845,351.587992561845,0,1
9,5,0.8,20,306.846032854822,306.846032854822,0,1
9,20,0.8,20,363.432841089875,372.727813218318,0,1
9,50,0.8,20,365.157621934451,365.157621934451,0,1
9,100,0.8,20,341.797425897016,341.797425897016,0,1
10,1,0.8,20,263.986307813649,263.986307813649,0,1
10,2,0.8,20,319.542344655708,319.542344655708,0,1
10,5,0.8,20,302.598779871985,302.598779871985,0,1
10,20,0.8,20,363.432841089875,372.892509480781,0,1
10,50,0.8,20,298.903590295548,298.903590295548,0,1
10,100,0.8,20,341.797425897016,350.474050777447,0,1
11,1,0.8,20,263.986307813649,320.991209488,0,1
11,2,0.8,20,309.474502660075,309.474502660075,0,1
11,5,0.8,20,285.882591137606,285.882591137606,0,1
11,20,0.8,20,309.936750011989,309.936750011989,0,1
11,50,0.8,20,274.899857049084,274.899857049084,0,1
11,100,0.8,20,341.33047539697,341.33047539697,0,1
12,1,0.8,20,263.986307813649,286.779770745276,0,1
12,2,0.8,20,308.870183778797,308.870183778797,0,1
12,5,0.8,20,284.261189326722,284.261189326722,0,1
12,20,0.8,20,308.130912992667,308.130912992667,0,1
12,50,0.8,20,274.899857049084,288.178662188513,0,1
12,100,0.8,20,314.954391429318,314.954391429318,0,1
13,1,0.8,20,263.986307813649,312.424042588179,0,1
13,2,0.8,20,278.199723845046,278.199723845046,0,1
13,5,0.8,20,263.850057553345,263.850057553345,0,1
13,20,0.8,20,282.264489901185,282.264489901185,0,1
13,50,0.8,20,248.257587557224,248.257587557224,0,1
13,100,0.8,20,314.954391429318,325.455417236947,0,1
14,1,0.8,20,263.986307813649,279.371584400367,0,1
14,2,0.8,20,273.374292059979,273.374292059979,0,1
14,5,0.8,20,245.629270719896,245.629270719896,0,1
14,20,0.8,20,282.264489901185,304.474462688921,0,1
14,50,0.8,20,248.257587557224,278.050321733098,0,1
14,100,0.8,20,314.954391429318,326.281960871781,0,1
15,1,0.8,20,263.986307813649,269.157300170713,0,1
15,2,0.8,20,273.374292059979,284.027932852319,0,1
15,5,0.8,20,245.629270719896,257.95463136564,0,1
15,20,0.8,20,282.264489901185,315.674924272189,0,1
15,50,0.8,20,248.257587557224,278.048486713285,0,1
15,100,0.8,20,304.221433437608,304.221433437608,0,1
16,1,0.8,20,263.986307813649,284.869861618842,0,1
16,2,0.8,20,262.918417081686,262.918417081686,0,1
16,5,0.8,20,245.629270719896,256.433809153534,0,1
16,20,0.8,20,280.048777660581,280.048777660581,0,1
16,50,0.8,20,248.257587557224,277.18397070401,0,1
16,100,0.8,20,274.351771661357,274.351771661357,0,1
17,1,0.8,20,236.980699881465,236.980699881465,0,1
17,2,0.8,20,262.918417081686,273.592011994518,0,1
17,5,0.8,20,230.539844762196,230.539844762196,0,1
17,20,0.8,20,280.048777660581,287.382327676154,0,1
17,50,0.8,20,248.257587557224,255.677893891685,0,1
17,100,0.8,20,268.420277202385,268.420277202385,0,1
18,1,0.8,20,236.980699881465,265.43216373159,0,1
18,2,0.8,20,240.019034256771,240.019034256771,0,1
18,5,0.8,20,226.796681018285,226.796681018285,0,1
18,20,0.8,20,262.582151071904,262.582151071904,0,1
18,50,0.8,20,248.257587557224,284.325523434687,0,1
18,100,0.8,20,268.420277202385,273.827425562998,0,1
19,1,0.8,20,236.980699881465,241.161621012721,0,1
19,2,0.8,20,240.019034256771,247.204481379711,0,1
19,5,0.8,20,219.885987793531,219.885987793531,0,1
19,20,0.8,20,260.312009169181,260.312009169181,0,1
19,50,0.8,20,248.257587557224,268.710137996486,0,1
19,100,0.8,20,248.606716315771,248.606716315771,0,1
20,1,0.8,20,236.980699881465,239.312360343037,0,1
20,2,0.8,20,240.019034256771,262.375310264641,0,1
20,5,0.8,20,216.315956744964,216.315956744964,0,1
20,20,0.8,20,245.959239459088,245.959239459088,0,1
20,50,0.8,20,241.247596658819,241.247596658819,0,1
20,100,0.8,20,222.820849377808,222.820849377808,0,1
21,1,0.8,20,236.980699881465,257.031715545639,0,1
21,2,0.8,20,240.019034256771,254.383461772722,0,1
21,5,0.8,20,212.247940837501,212.247940837501,0,1
21,20,0.8,20,236.159524814423,236.159524814423,0,1
21,50,0.8,20,241.247596658819,241.250217237094,0,1
21,100,0.8,20,222.241907911552,222.241907911552,0,1
22,1,0.8,20,236.980699881465,244.690364585127,0,1
22,2,0.8,20,240.019034256771,257.059617986188,0,1
22,5,0.8,20,212.247940837501,214.724378515276,0,1
22,20,0.8,20,236.159524814423,268.415159755452,0,1
22,50,0.8,20,198.627758422155,198.627758422155,0,1
22,100,0.8,20,212.476154269918,212.476154269918,0,1
23,1,0.8,20,236.980699881465,246.419209605208,0,1
23,2,0.8,20,228.06001009663,228.06001009663,0,1
23,5,0.8,20,212.247940837501,218.923778800562,0,1
23,20,0.8,20,236.159524814423,245.46174773709,0,1
23,50,0.8,20,198.627758422155,221.518281281075,0,1
23,100,0.8,20,212.476154269918,217.247020382491,0,1
24,1,0.8,20,233.898153957788,233.898153957788,0,1
24,2,0.8,20,228.06001009663,239.060738559002,0,1
24,5,0.8,20,211.656632434389,211.656632434389,0,1
24,20,0.8,20,236.159524814423,251.493989889184,0,1
24,50,0.8,20,198.627758422155,207.352097262651,0,1
24,100,0.8,20,194.018480904315,194.018480904315,0,1
25,1,0.8,20,233.898153957788,249.444250524857,0,1
25,2,0.8,20,228.06001009663,251.177270185338,0,1
25,5,0.8,20,211.656632434389,213.693987522813,0,1
25,20,0.8,20,236.159524814423,236.217614650658,0,1
25,50,0.8,20,198.627758422155,206.637680414493,0,1
25,100,0.8,20,192.940591091892,192.940591091892,0,1
26,1,0.8,20,233.898153957788,247.654738648546,0,1
26,2,0.8,20,217.403505237845,217.403505237845,0,1
26,5,0.8,20,205.215801857678,205.215801857678,0,1
26,20,0.8,20,221.386033659191,221.386033659191,0,1
26,50,0.8,20,198.627758422155,216.356437941537,0,1
26,100,0.8,20,191.001644071952,191.001644071952,0,1
27,1,0.8,20,233.898153957788,242.376574186752,0,1
27,2,0.8,20,215.778339140398,215.778339140398,0,1
27,5,0.8,20,205.215801857678,205.58261282337,0,1
27,20,0.8,20,210.130557003732,210.130557003732,0,1
27,50,0.8,20,198.627758422155,218.097875802343,0,1
27,100,0.8,20,187.425701020857,187.425701020857,0,1
