iteration,sigma,rho,Q,bestLength
100,1,0.8,0,415.197912179312
100,1,0.8,0,430.886401654892
100,1,0.8,0,408.086788979402
100,1,0.8,0,406.608415636644
100,1,0.8,0,392.275663064924
100,1,0.8,0,409.548967204066
100,1,0.8,0,447.973355043069
100,1,0.8,0,442.481658085746
100,1,0.8,0,432.713696535514
100,1,0.8,0,429.07991503974
100,1,0.8,0,406.828289440669
100,1,0.8,0,433.677167286546
100,1,0.8,0,437.758973284766
100,1,0.8,0,402.669727831038
100,1,0.8,0,425.600867775581
100,1,0.8,0,442.576520812055
100,1,0.8,0,444.048189268271
100,1,0.8,0,437.031085613044
100,1,0.8,0,411.364536422345
100,1,0.8,0,419.93288094394
100,1,0.8,0,451.557102584971
100,1,0.8,0,417.559288401338
100,1,0.8,0,454.012432902494
100,1,0.8,0,429.566428401447
100,1,0.8,0,431.738157484058
100,1,0.8,0,433.539452578765
100,1,0.8,0,420.610071706688
100,1,0.8,0,445.279219846401
100,1,0.8,0,425.0969825263
100,1,0.8,0,438.056933754295
100,1,0.8,0,415.252121712761
100,1,0.8,0,421.28213120258
100,1,0.8,0,447.854729929699
100,1,0.8,0,410.057704860688
100,1,0.8,0,432.169765869565
100,1,0.8,0,410.479922718961
100,1,0.8,0,410.328094011523
100,1,0.8,0,417.629047845705
100,1,0.8,0,433.081953254501
100,1,0.8,0,429.154922823976
100,1,0.8,0,421.981185814822
100,1,0.8,0,457.241556963936
100,1,0.8,0,434.957972845427
100,1,0.8,0,422.074958248412
100,1,0.8,0,429.456652076996
100,1,0.8,0,411.556779860246
100,1,0.8,0,445.639745837908
100,1,0.8,0,432.755292192689
100,1,0.8,0,416.011001549729
100,1,0.8,0,429.556833798847
100,1,0.8,1,430.139606347759
100,1,0.8,1,423.353893230498
100,1,0.8,1,426.079319472348
100,1,0.8,1,433.720670157655
100,1,0.8,1,417.246418530731
100,1,0.8,1,450.149407608497
100,1,0.8,1,422.762835912174
100,1,0.8,1,412.974864626441
100,1,0.8,1,430.449927702812
100,1,0.8,1,434.271041608703
100,1,0.8,1,435.824827740306
100,1,0.8,1,443.204904476886
100,1,0.8,1,442.138589890828
100,1,0.8,1,452.834634923905
100,1,0.8,1,431.155291739057
100,1,0.8,1,432.785951193435
100,1,0.8,1,403.870981922298
100,1,0.8,1,447.67481255697
100,1,0.8,1,428.545642631538
100,1,0.8,1,444.40061538138
100,1,0.8,1,417.980491055471
100,1,0.8,1,427.934834639987
100,1,0.8,1,459.353162477642
100,1,0.8,1,420.833526247059
100,1,0.8,1,438.38285779275
100,1,0.8,1,447.037991005525
100,1,0.8,1,428.603216984544
100,1,0.8,1,453.46668920707
100,1,0.8,1,424.608895368402
100,1,0.8,1,426.807103052014
100,1,0.8,1,420.010031808395
100,1,0.8,1,437.789925095707
100,1,0.8,1,416.66111178924
100,1,0.8,1,442.878907274047
100,1,0.8,1,438.347975081937
100,1,0.8,1,423.020381317219
100,1,0.8,1,394.895939952357
100,1,0.8,1,433.006639657358
100,1,0.8,1,410.715817403324
100,1,0.8,1,422.276989814012
100,1,0.8,1,444.549452877138
100,1,0.8,1,420.563019552236
100,1,0.8,1,421.483804379543
100,1,0.8,1,433.077429557901
100,1,0.8,1,434.762923621464
100,1,0.8,1,435.627171492301
100,1,0.8,1,426.191266648028
100,1,0.8,1,414.245692583354
100,1,0.8,1,448.826194810661
100,1,0.8,1,444.969995644812
100,1,0.8,2,398.461175331905
100,1,0.8,2,446.2008249308
100,1,0.8,2,417.595199783283
100,1,0.8,2,426.111596248745
100,1,0.8,2,421.713331500551
100,1,0.8,2,435.124985677687
100,1,0.8,2,411.031319622308
100,1,0.8,2,426.035992055846
100,1,0.8,2,432.80805784994
100,1,0.8,2,417.466385253091
100,1,0.8,2,427.611234803511
100,1,0.8,2,448.194992733921
100,1,0.8,2,422.275421071914
100,1,0.8,2,438.937749981226
100,1,0.8,2,437.619556137685
100,1,0.8,2,445.917460684733
100,1,0.8,2,431.88722312271
100,1,0.8,2,418.760258636682
100,1,0.8,2,424.627770317243
100,1,0.8,2,412.982693660146
100,1,0.8,2,416.921816855905
100,1,0.8,2,410.508634503157
100,1,0.8,2,410.151346981905
100,1,0.8,2,449.743218745118
100,1,0.8,2,415.990423345935
100,1,0.8,2,432.857397954575
100,1,0.8,2,436.380909199966
100,1,0.8,2,439.488379557992
100,1,0.8,2,413.331554564608
100,1,0.8,2,429.998666203975
100,1,0.8,2,437.382688328225
100,1,0.8,2,428.957274511514
100,1,0.8,2,427.473519331437
100,1,0.8,2,433.466476580645
100,1,0.8,2,445.073524842042
100,1,0.8,2,418.769323024343
100,1,0.8,2,434.131772010487
100,1,0.8,2,419.952841549777
100,1,0.8,2,434.005534870502
100,1,0.8,2,416.121959494928
100,1,0.8,2,411.347466516284
