sigma,rho,Q,bestLength
1,0.05,5,432.623196601868
1,0.05,5,456.585134297609
1,0.05,5,440.537332653999
1,0.1,5,449.063281297684
1,0.1,5,462.635267972946
1,0.1,5,449.208680033684
1,0.15,5,476.634948134422
1,0.15,5,459.60130238533
1,0.15,5,472.791537761688
1,0.2,5,451.852942377329
1,0.2,5,440.967063903809
1,0.2,5,473.327315926552
1,0.25,5,482.193196296692
1,0.25,5,441.658793449402
1,0.25,5,485.092584252357
1,0.3,5,442.80504488945
1,0.3,5,454.90159702301
1,0.3,5,468.944954872131
1,0.35,5,453.244552254677
1,0.35,5,451.080519556999
1,0.35,5,456.928745508194
1,0.4,5,461.424257159233
1,0.4,5,441.58797121048
1,0.4,5,470.004625678062
1,0.45,5,451.447443515062
1,0.45,5,439.539569139481
1,0.45,5,448.48365187645
1,0.5,5,475.386674404144
1,0.5,5,476.701607346535
1,0.5,5,471.536014080048
1,0.55,5,469.125090718269
1,0.55,5,443.90307366848
1,0.55,5,442.652610778809
1,0.6,5,474.055009126663
1,0.6,5,479.924918055534
1,0.6,5,456.108929514885
1,0.65,5,483.896285057068
1,0.65,5,461.917019367218
1,0.65,5,465.433218836784
1,0.7,5,458.299390912056
1,0.7,5,460.148004174232
1,0.7,5,463.915749430656
1,0.75,5,437.911961078644
1,0.75,5,452.357143640518
1,0.75,5,465.249310731888
1,0.8,5,472.768910050392
1,0.8,5,449.681434988976
1,0.8,5,437.292812585831
1,0.85,5,455.599212527275
1,0.85,5,444.911697626114
1,0.85,5,454.493993163109
1,0.9,5,464.751355528831
1,0.9,5,449.520062237978
1,0.9,5,458.727645903826
1,0.95,5,422.123927980661
1,0.95,5,421.566868394613
1,0.95,5,419.166233837605
1,0.05,10,476.175869971514
1,0.05,10,468.072456479073
1,0.05,10,449.993908882141
1,0.1,10,453.09828555584
1,0.1,10,451.597614198923
1,0.1,10,435.364833146334
1,0.15,10,466.322942018509
1,0.15,10,475.152794837952
1,0.15,10,446.113774478436
1,0.2,10,463.356790661812
1,0.2,10,474.417169332504
1,0.2,10,468.988293468952
1,0.25,10,461.508942604065
1,0.25,10,432.722767114639
1,0.25,10,470.430029273033
1,0.3,10,430.400505691767
1,0.3,10,464.740594804287
1,0.3,10,455.101063728333
1,0.35,10,445.682657718658
1,0.35,10,456.352749526501
1,0.35,10,455.065624713898
1,0.4,10,459.935482740402
1,0.4,10,469.314890861511
1,0.4,10,421.664225578308
1,0.45,10,441.184475064278
1,0.45,10,476.324696421623
1,0.45,10,432.918648064137
1,0.5,10,468.237193763256
1,0.5,10,445.604330539703
1,0.5,10,452.931430399418
1,0.55,10,469.050461411476
1,0.55,10,444.31064760685
1,0.55,10,475.227449417114
1,0.6,10,443.041974663734
1,0.6,10,441.769000053406
1,0.6,10,463.375786840916
1,0.65,10,477.413496613503
1,0.65,10,472.200511455536
1,0.65,10,479.413730144501
1,0.7,10,460.288242340088
1,0.7,10,474.468957006931
1,0.7,10,459.718691885471
1,0.75,10,474.025005698204
1,0.75,10,436.265540778637
1,0.75,10,470.667338758707
1,0.8,10,457.10690009594
1,0.8,10,444.154653549194
1,0.8,10,454.379821360111
1,0.85,10,436.555048704147
1,0.85,10,403.713231474161
1,0.85,10,453.768390923738
1,0.9,10,387.039136379957
1,0.9,10,357.692391365767
1,0.9,10,384.494751036167
1,0.95,10,200.746723681688
1,0.95,10,176.909772008657
1,0.95,10,180.317132681608
1,0.05,15,461.668989181519
1,0.05,15,447.910737633705
1,0.05,15,473.762683689594
