iteration,sigma,rho,Q,bestLength
100,1,0.05,5,437.102328658104
100,1,0.05,5,445.317962050438
100,1,0.05,5,411.599905967712
100,20,0.05,5,434.431454896927
100,20,0.05,5,432.475465089083
100,20,0.05,5,433.032562226057
100,1,0.1,5,432.945054858923
100,1,0.1,5,449.269471526146
100,1,0.1,5,422.359305202961
100,20,0.1,5,449.178984105587
100,20,0.1,5,420.940820336342
100,20,0.1,5,435.744759321213
100,1,0.15,5,448.326551675797
100,1,0.15,5,420.439309239388
100,1,0.15,5,426.332464724779
100,20,0.15,5,429.407023191452
100,20,0.15,5,428.885012865067
100,20,0.15,5,430.362657546997
100,1,0.2,5,431.2907730937
100,1,0.2,5,397.315952181816
100,1,0.2,5,459.45602285862
100,20,0.2,5,421.648080945015
100,20,0.2,5,433.394732028246
100,20,0.2,5,432.67946100235
100,1,0.25,5,440.20156443119
100,1,0.25,5,421.411323666573
100,1,0.25,5,403.324410676956
100,20,0.25,5,424.991737008095
100,20,0.25,5,422.205793976784
100,20,0.25,5,448.649384140968
100,1,0.3,5,393.926409363747
100,1,0.3,5,422.055998682976
100,1,0.3,5,431.664961576462
100,20,0.3,5,448.209895133972
100,20,0.3,5,430.876532196999
100,20,0.3,5,423.711751848459
100,1,0.35,5,433.70354989171
100,1,0.35,5,404.148458689451
100,1,0.35,5,413.044960975647
100,20,0.35,5,445.272925376892
100,20,0.35,5,434.910417914391
100,20,0.35,5,425.132683157921
100,1,0.4,5,421.270618796349
100,1,0.4,5,424.114399731159
100,1,0.4,5,431.181562900543
100,20,0.4,5,423.488967716694
100,20,0.4,5,429.612565636635
100,20,0.4,5,420.900477409363
100,1,0.45,5,441.909306406975
100,1,0.45,5,451.75746679306
100,1,0.45,5,424.066313505173
100,20,0.45,5,449.725747942925
100,20,0.45,5,449.115784049034
100,20,0.45,5,441.724235802889
100,1,0.5,5,442.419956207275
100,1,0.5,5,443.451419591904
100,1,0.5,5,414.712573647499
100,20,0.5,5,408.530080914497
100,20,0.5,5,412.855313301086
100,20,0.5,5,433.861511826515
100,1,0.55,5,432.698281407356
100,1,0.55,5,423.31677544117
100,1,0.55,5,437.051581501961
100,20,0.55,5,432.443174481392
100,20,0.55,5,424.165491819382
100,20,0.55,5,426.354813098907
100,1,0.6,5,410.169999957085
100,1,0.6,5,420.498252660036
100,1,0.6,5,427.796049743891
100,20,0.6,5,440.267332613468
100,20,0.6,5,429.553937077522
100,20,0.6,5,424.061552762985
100,1,0.65,5,418.885513097048
100,1,0.65,5,429.629473209381
100,1,0.65,5,388.596213877201
100,20,0.65,5,436.01800134778
100,20,0.65,5,419.257934093475
100,20,0.65,5,409.889128804207
100,1,0.7,5,432.778478741646
100,1,0.7,5,429.85009932518
100,1,0.7,5,427.751337647438
100,20,0.7,5,405.685918629169
100,20,0.7,5,450.075779378414
100,20,0.7,5,415.344556629658
100,1,0.75,5,440.112078070641
100,1,0.75,5,429.219580590725
100,1,0.75,5,418.499414563179
100,20,0.75,5,437.636664748192
100,20,0.75,5,432.656270861626
100,20,0.75,5,416.122137784958
100,1,0.8,5,415.745358109474
100,1,0.8,5,414.206809163094
100,1,0.8,5,421.464404165745
100,20,0.8,5,440.16633144021
100,20,0.8,5,420.70549684763
100,20,0.8,5,421.419446110725
100,1,0.85,5,436.163796305656
100,1,0.85,5,433.782731890678
100,1,0.85,5,412.541766285896
100,20,0.85,5,429.306226015091
100,20,0.85,5,419.926868677139
100,20,0.85,5,422.10258936882
100,1,0.9,5,433.825377583504
100,1,0.9,5,407.800286918879
100,1,0.9,5,422.002823442221
100,20,0.9,5,434.063343852758
100,20,0.9,5,442.178082674742
100,20,0.9,5,414.160749226809
100,1,0.95,5,135.628751248121
100,1,0.95,5,177.922884076834
100,1,0.95,5,134.279295295477
100,20,0.95,5,169.63734832406
100,20,0.95,5,142.160858362913
100,20,0.95,5,187.935286432505
100,1,0.05,10,435.910937815905
100,1,0.05,10,434.484048366547
100,1,0.05,10,420.466852068901
100,20,0.05,10,436.920998573303
100,20,0.05,10,430.048753499985
100,20,0.05,10,424.869966626167
100,1,0.1,10,440.907159924507
100,1,0.1,10,433.736954391003
100,1,0.1,10,441.692610383034
100,20,0.1,10,414.987395524979
100,20,0.1,10,444.261747837067
100,20,0.1,10,416.441242218018
100,1,0.15,10,445.739552021027
100,1,0.15,10,437.67646586895
100,1,0.15,10,419.505199193954
100,20,0.15,10,434.235454916954
100,20,0.15,10,444.306752920151
100,20,0.15,10,426.318695187569
100,1,0.2,10,429.494358181953
100,1,0.2,10,439.27065217495
100,1,0.2,10,421.285787820816
100,20,0.2,10,414.630905807018
100,20,0.2,10,435.332008361816
100,20,0.2,10,413.996934592724
100,1,0.25,10,409.353368878365
100,1,0.25,10,403.998426139355
100,1,0.25,10,406.299229234457
100,20,0.25,10,428.030139446259
100,20,0.25,10,440.353921562433
100,20,0.25,10,412.740244984627
100,1,0.3,10,452.671962141991
100,1,0.3,10,432.509604275227
100,1,0.3,10,415.579160094261
100,20,0.3,10,419.000777244568
100,20,0.3,10,429.684531390667
100,20,0.3,10,411.204131960869
100,1,0.35,10,420.994830369949
100,1,0.35,10,394.484887242317
100,1,0.35,10,421.345117866993
100,20,0.35,10,431.158676505089
100,20,0.35,10,436.372661113739
100,20,0.35,10,423.111167788506
100,1,0.4,10,419.894550204277
100,1,0.4,10,420.514221847057
100,1,0.4,10,462.918528556824
100,20,0.4,10,419.439000546932
100,20,0.4,10,422.82739469409
100,20,0.4,10,433.428203701973
100,1,0.45,10,443.162109375
100,1,0.45,10,437.851865887642
100,1,0.45,10,409.34686473012
100,20,0.45,10,413.550156772137
100,20,0.45,10,425.841639995575
100,20,0.45,10,438.235633373261
100,1,0.5,10,417.489849925041
100,1,0.5,10,403.715220808983
100,1,0.5,10,439.976399302483
100,20,0.5,10,422.907267808914
100,20,0.5,10,417.202658712864
100,20,0.5,10,440.516066789627
100,1,0.55,10,444.409351587296
100,1,0.55,10,421.706671833992
100,1,0.55,10,438.330129265785
